,block_id,timeout_in_s,solver_time_in_sec,has_model,finished_execution,lower_bound,upper_bound,models_found,cost_per_model_found,found_model_times,hard_is_sat,hard_time_in_sec,hard_found_model,hard_cost_found
0,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block148,50.0,12.58,True,True,0,16,"['PUSH PUSH KECCAK256_0 DUP1 DUP1 DUP3 DUP8 PUSH MSTORE_0 POP PUSH SWAP1 PUSH PUSH SWAP3 MSTORE_1 POP PUSH MSTORE_2 PUSH MSTORE_3 SLOAD_0', 'PUSH PUSH KECCAK256_0 DUP1 DUP1 DUP3 DUP8 PUSH MSTORE_0 POP PUSH SWAP1 PUSH PUSH SWAP3 MSTORE_1 POP PUSH MSTORE_2 PUSH MSTORE_3 SLOAD_0', 'PUSH PUSH KECCAK256_0 DUP1 SWAP2 SWAP1 SWAP2 PUSH PUSH SWAP1 PUSH MSTORE_1 MSTORE_3 SWAP1 DUP5 SWAP5 PUSH MSTORE_0 SLOAD_0 PUSH PUSH MSTORE_2', 'PUSH PUSH PUSH DUP7 DUP2 MSTORE_0 KECCAK256_0 PUSH PUSH MSTORE_1 DUP1 PUSH DUP1 MSTORE_2 SLOAD_0 SWAP2 MSTORE_3 NOP NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 DUP1 PUSH PUSH PUSH MSTORE_1 MSTORE_3 PUSH DUP6 SWAP1 MSTORE_0 PUSH PUSH MSTORE_2 SLOAD_0 NOP NOP NOP NOP NOP', 'PUSH PUSH MSTORE_1 DUP4 PUSH MSTORE_0 PUSH DUP1 MSTORE_2 PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 DUP1 PUSH PUSH DUP2 MSTORE_1 MSTORE_3 DUP5 PUSH MSTORE_0 PUSH DUP1 MSTORE_2 SLOAD_0 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 DUP1 PUSH PUSH DUP2 MSTORE_1 MSTORE_3 DUP5 PUSH MSTORE_0 PUSH DUP1 MSTORE_2 SLOAD_0 NOP NOP NOP NOP NOP NOP', 'DUP4 PUSH MSTORE_0 PUSH PUSH DUP1 MSTORE_2 PUSH PUSH MSTORE_1 PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH MSTORE_1 PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP5 PUSH MSTORE_0 PUSH PUSH MSTORE_2 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH MSTORE_1 PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP5 PUSH MSTORE_0 PUSH PUSH MSTORE_2 NOP NOP NOP NOP NOP NOP']","[0, 0, 0, 5, 5, 6, 6, 6, 6, 6, 6]","[3.1, 3.11, 3.34, 6.07, 10.79, 11.26, 11.43, 11.47, 11.58, 12.55, 12.57]",True,9.91,DUP4 PUSH PUSH KECCAK256_0 DUP6 SWAP1 DUP1 PUSH SWAP2 SWAP4 POP SWAP1 PUSH DUP2 MSTORE_1 MSTORE_3 PUSH MSTORE_0 PUSH PUSH MSTORE_2 SLOAD_0,0.0
1,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block135,60.0,83.01,True,False,-27,27,"['PUSH MLOAD_0 PUSH PUSH DUP3 PUSH DUP5 MSTORE_0 ADD_2 MSTORE_1 PUSH PUSH PUSH DUP4 ADD_3 MSTORE_2 PUSH PUSH DUP4 PUSH ADD_4 MSTORE_3 PUSH DUP4 ADD_1 MSTORE_4 ADD_0', 'PUSH MLOAD_0 PUSH PUSH DUP3 PUSH DUP5 MSTORE_0 ADD_2 MSTORE_1 PUSH PUSH PUSH DUP4 ADD_3 MSTORE_2 PUSH PUSH DUP4 PUSH ADD_4 MSTORE_3 PUSH DUP4 ADD_1 MSTORE_4 ADD_0', 'PUSH MLOAD_0 PUSH DUP2 MSTORE_0 PUSH PUSH DUP3 PUSH ADD_2 MSTORE_1 PUSH PUSH DUP4 ADD_3 MSTORE_2 DUP2 PUSH ADD_4 MSTORE_3 PUSH DUP2 PUSH ADD_1 MSTORE_4 PUSH ADD_0']","[0, 0, 0]","[28.67, 28.68, 33.87]",True,23.05,PUSH MLOAD_0 PUSH DUP2 MSTORE_0 PUSH DUP2 PUSH ADD_2 MSTORE_1 PUSH PUSH PUSH DUP4 PUSH ADD_3 MSTORE_2 PUSH DUP4 ADD_4 MSTORE_3 PUSH PUSH DUP4 ADD_1 MSTORE_4 ADD_0,0.0
2,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block104,50.0,103.45,True,False,-20,25,"['PUSH PUSH KECCAK256_0 CALLER_0 PUSH MSTORE_0 DUP1 CALLER_0 DUP5 PUSH AND_0 PUSH MSTORE_2 POP PUSHTAG_0 PUSH SWAP1 POP PUSH MSTORE_1 PUSH SWAP2 PUSHTAG_1 SWAP2 PUSH MSTORE_3 SLOAD_0 DUP5 PUSHTAG_0 DUP6 CALLER_0 SWAP4 NOP NOP NOP', 'PUSH PUSH KECCAK256_0 CALLER_0 PUSH MSTORE_0 DUP1 CALLER_0 DUP5 PUSH AND_0 PUSH MSTORE_2 POP PUSHTAG_0 PUSH SWAP1 POP PUSH MSTORE_1 PUSH SWAP2 PUSHTAG_1 SWAP2 PUSH MSTORE_3 SLOAD_0 DUP5 PUSHTAG_0 DUP6 CALLER_0 SWAP4 NOP NOP NOP', 'PUSH PUSH KECCAK256_0 PUSH CALLER_0 PUSH MSTORE_0 PUSH DUP5 DUP4 PUSH PUSH MSTORE_1 PUSHTAG_1 SWAP4 MSTORE_3 AND_0 DUP5 PUSHTAG_0 DUP6 CALLER_0 SWAP4 PUSH MSTORE_2 PUSH SWAP6 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP NOP', 'CALLER_0 PUSH MSTORE_0 PUSH PUSH KECCAK256_0 PUSHTAG_1 PUSH PUSH MSTORE_1 DUP4 PUSH DUP4 PUSH MSTORE_3 AND_0 PUSH MSTORE_2 CALLER_0 PUSH SWAP3 SLOAD_0 PUSHTAG_0 DUP6 DUP8 SWAP3 NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_1 DUP4 CALLER_0 PUSH MSTORE_0 PUSH AND_0 PUSH MSTORE_2 CALLER_0 PUSH PUSH KECCAK256_0 PUSH PUSH MSTORE_1 DUP1 PUSH MSTORE_3 SLOAD_0 PUSHTAG_0 DUP6 DUP8 SWAP3 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH CALLER_0 PUSH MSTORE_0 DUP3 PUSH AND_0 PUSH MSTORE_2 PUSH MSTORE_1 PUSH PUSHTAG_1 PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP5 PUSHTAG_0 DUP6 CALLER_0 SWAP4 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_1 PUSH PUSH KECCAK256_0 DUP1 PUSH PUSH MSTORE_1 PUSH MSTORE_3 SLOAD_0 DUP5 DUP1 PUSH CALLER_0 PUSH MSTORE_0 AND_0 PUSH MSTORE_2 PUSHTAG_0 DUP6 CALLER_0 SWAP4 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_1 CALLER_0 PUSH DUP4 KECCAK256_0 DUP1 PUSH PUSH DUP2 MSTORE_1 MSTORE_3 SLOAD_0 DUP6 PUSH CALLER_0 DUP7 MSTORE_0 AND_0 DUP5 MSTORE_2 PUSHTAG_0 DUP6 DUP8 SWAP3 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 DUP3 CALLER_0 PUSH MSTORE_0 PUSH AND_0 PUSH MSTORE_2 SLOAD_0 PUSHTAG_1 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSH SWAP6 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 PUSH PUSH MSTORE_1 PUSHTAG_1 DUP2 PUSH DUP6 AND_0 CALLER_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH MSTORE_3 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSH SWAP6 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 PUSH DUP4 AND_0 PUSH CALLER_0 PUSH MSTORE_0 MSTORE_2 DUP1 PUSH MSTORE_3 SLOAD_0 PUSHTAG_1 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSH SWAP6 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH DUP5 AND_0 CALLER_0 PUSH MSTORE_0 PUSH MSTORE_2 MSTORE_1 PUSH PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSHTAG_1 SWAP5 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH CALLER_0 PUSH MSTORE_0 PUSH DUP4 AND_0 PUSH MSTORE_2 PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSHTAG_1 SWAP5 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 DUP1 PUSH PUSH DUP2 MSTORE_1 MSTORE_3 SLOAD_0 CALLER_0 PUSH MSTORE_0 PUSH DUP4 AND_0 PUSH MSTORE_2 PUSHTAG_1 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSH SWAP6 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 PUSH CALLER_0 PUSH MSTORE_0 DUP4 AND_0 PUSH MSTORE_2 PUSH PUSH MSTORE_1 DUP1 PUSH MSTORE_3 PUSHTAG_1 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSH SWAP6 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH DUP4 PUSH AND_0 CALLER_0 DUP3 MSTORE_0 DUP2 MSTORE_2 KECCAK256_0 PUSH PUSH MSTORE_1 DUP1 PUSH MSTORE_3 SLOAD_0 PUSHTAG_1 CALLER_0 DUP5 PUSHTAG_0 DUP6 PUSH SWAP6 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP']","[3, 3, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[29.75, 29.75, 69.46, 89.82, 92.05, 92.25, 94.14, 94.76, 95.31, 97.6, 98.04, 101.18, 101.29, 102.9, 103.14, 103.43]",True,41.91,PUSH PUSH KECCAK256_0 DUP1 SLOAD_0 PUSH PUSH MSTORE_1 CALLER_0 DUP3 PUSH MSTORE_3 PUSHTAG_0 DUP2 PUSH SWAP4 PUSH SWAP6 DUP9 SWAP1 POP PUSHTAG_1 SWAP2 SWAP7 AND_0 SWAP2 DUP6 MSTORE_0 SWAP4 MSTORE_2 DUP6 SWAP1 DUP6 PUSH SWAP6,0.0
3,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block81,60.0,60.69,False,False,-1,27,[],[],[],True,13.66,PUSH MLOAD_0 PUSH DUP2 MSTORE_0 PUSH PUSH DUP3 ADD_2 MSTORE_1 PUSH PUSH PUSH PUSH DUP5 ADD_3 MSTORE_2 DUP3 ADD_4 MSTORE_3 PUSH PUSH DUP3 ADD_1 MSTORE_4 PUSH ADD_0,0.0
4,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block70,50.0,86.57,True,False,-7,20,"['SWAP1 PUSH AND_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH SWAP1 PUSH SWAP2 PUSH KECCAK256_0 SWAP2 DUP3 SWAP3 ADD_0 SWAP2 SLOAD_0 PUSH PUSH MSTORE_1 SWAP2 PUSH MSTORE_3 NOP NOP NOP NOP NOP', 'SWAP1 PUSH AND_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH SWAP1 PUSH SWAP2 PUSH KECCAK256_0 SWAP2 DUP3 SWAP3 ADD_0 SWAP2 SLOAD_0 PUSH PUSH MSTORE_1 SWAP2 PUSH MSTORE_3 NOP NOP NOP NOP NOP', 'SWAP1 PUSH AND_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH PUSH KECCAK256_0 DUP1 PUSH ADD_0 PUSH PUSH MSTORE_1 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH KECCAK256_0 SWAP3 AND_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH DUP2 ADD_0 PUSH PUSH MSTORE_1 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'SWAP1 PUSH AND_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 DUP1 PUSH ADD_0 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'SWAP1 PUSH AND_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 DUP1 PUSH ADD_0 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'SWAP1 PUSH AND_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 DUP1 PUSH ADD_0 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH SWAP3 PUSH AND_0 DUP2 MSTORE_0 MSTORE_2 PUSH PUSH PUSH MSTORE_1 KECCAK256_0 PUSH DUP2 ADD_0 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH SWAP3 PUSH AND_0 DUP2 MSTORE_0 MSTORE_2 PUSH PUSH PUSH MSTORE_1 KECCAK256_0 PUSH DUP2 ADD_0 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH SWAP3 PUSH AND_0 DUP2 MSTORE_0 MSTORE_2 PUSH PUSH PUSH MSTORE_1 KECCAK256_0 PUSH DUP2 ADD_0 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH SWAP3 PUSH AND_0 DUP2 MSTORE_0 MSTORE_2 PUSH PUSH PUSH MSTORE_1 KECCAK256_0 PUSH DUP2 ADD_0 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH SWAP3 PUSH AND_0 DUP2 MSTORE_0 MSTORE_2 PUSH PUSH PUSH MSTORE_1 KECCAK256_0 PUSH DUP2 ADD_0 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP']","[5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[8.74, 8.75, 22.57, 47.25, 59.89, 59.91, 59.93, 86.49, 86.51, 86.53, 86.55, 86.57]",True,11.61,SWAP1 PUSH SWAP1 PUSH SWAP2 AND_0 DUP2 MSTORE_0 MSTORE_2 DUP1 PUSH PUSH MSTORE_1 PUSH SWAP1 POP PUSH KECCAK256_0 DUP1 SWAP2 DUP1 PUSH SWAP2 POP SWAP3 ADD_0 PUSH MSTORE_3 SLOAD_0 SWAP1,0.0
5,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block74,60.0,58.01,True,True,0,27,"['PUSH MLOAD_0 PUSH DUP2 PUSH PUSH DUP3 MSTORE_0 ADD_2 MSTORE_1 PUSH PUSH DUP3 ADD_3 MSTORE_2 PUSH DUP2 PUSH ADD_4 MSTORE_3 PUSH PUSH DUP3 ADD_1 MSTORE_4 PUSH ADD_0', 'PUSH MLOAD_0 PUSH DUP2 PUSH PUSH DUP3 MSTORE_0 ADD_2 MSTORE_1 PUSH PUSH DUP3 ADD_3 MSTORE_2 PUSH DUP2 PUSH ADD_4 MSTORE_3 PUSH PUSH DUP3 ADD_1 MSTORE_4 PUSH ADD_0', 'PUSH MLOAD_0 PUSH DUP2 MSTORE_0 PUSH PUSH DUP3 PUSH ADD_2 MSTORE_1 PUSH PUSH DUP4 ADD_3 MSTORE_2 PUSH DUP3 ADD_4 MSTORE_3 PUSH DUP2 PUSH ADD_1 MSTORE_4 PUSH ADD_0', 'PUSH MLOAD_0 PUSH DUP2 PUSH DUP4 MSTORE_0 PUSH ADD_2 MSTORE_1 PUSH PUSH DUP3 PUSH ADD_3 MSTORE_2 PUSH DUP3 ADD_4 MSTORE_3 PUSH DUP2 PUSH ADD_1 MSTORE_4 PUSH ADD_0']","[0, 0, 0, 0]","[34.17, 34.18, 57.96, 58.03]",True,14.26,PUSH MLOAD_0 PUSH DUP2 MSTORE_0 PUSH DUP2 PUSH ADD_3 PUSH DUP4 PUSH ADD_2 MSTORE_1 MSTORE_2 PUSH DUP2 PUSH ADD_4 MSTORE_3 PUSH PUSH PUSH DUP4 ADD_1 MSTORE_4 ADD_0,0.0
6,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block92.0,30.0,8.64,True,True,0,20,"['PUSH MLOAD_0 PUSH DUP2 PUSH DUP4 ADD_1 PUSH MSTORE_0 MSTORE_1 DUP5 CALLER_0 PUSHTAG_0 DUP6 PUSHTAG_1 SWAP5 PUSH PUSHDATA_0 DUP3 PUSH ADD_0', 'PUSH MLOAD_0 PUSH DUP2 PUSH DUP4 ADD_1 PUSH MSTORE_0 MSTORE_1 DUP5 CALLER_0 PUSHTAG_0 DUP6 PUSHTAG_1 SWAP5 PUSH PUSHDATA_0 DUP3 PUSH ADD_0', 'PUSHTAG_1 PUSH MLOAD_0 CALLER_0 PUSHTAG_0 DUP3 PUSH ADD_1 PUSH MSTORE_0 DUP6 DUP9 SWAP4 PUSH PUSH DUP3 MSTORE_1 PUSHDATA_0 PUSH DUP4 ADD_0', 'PUSHTAG_1 DUP5 PUSH MLOAD_0 PUSH DUP2 PUSH ADD_1 PUSH MSTORE_0 DUP2 MSTORE_1 PUSHTAG_0 DUP6 CALLER_0 SWAP3 PUSH PUSHDATA_0 PUSH DUP4 ADD_0', 'PUSH MLOAD_0 DUP5 CALLER_0 PUSHTAG_0 DUP6 PUSH DUP6 PUSH DUP2 ADD_1 PUSH MSTORE_0 MSTORE_1 DUP5 PUSH PUSHDATA_0 PUSH PUSHTAG_1 SWAP9 ADD_0', 'PUSHTAG_1 DUP5 CALLER_0 PUSHTAG_0 DUP6 PUSH MLOAD_0 PUSH PUSH DUP3 ADD_1 PUSH MSTORE_0 DUP2 MSTORE_1 PUSH PUSHDATA_0 PUSH DUP4 ADD_0 NOP', 'PUSHTAG_1 DUP5 CALLER_0 PUSHTAG_0 DUP6 PUSH MLOAD_0 PUSH PUSH DUP3 ADD_1 PUSH MSTORE_0 DUP2 MSTORE_1 PUSH PUSHDATA_0 PUSH DUP4 ADD_0 NOP']","[0, 0, 0, 0, 0, 1, 1]","[6.22, 6.22, 6.78, 7.19, 7.48, 8.61, 8.65]",False,30.02,,
7,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block159,60.0,114.05,True,False,-27,27,"['PUSH PUSH MLOAD_0 PUSH DUP2 MSTORE_0 PUSH PUSH DUP3 PUSH ADD_2 MSTORE_1 DUP2 PUSH ADD_3 MSTORE_2 PUSH DUP2 PUSH ADD_4 MSTORE_3 PUSH DUP2 PUSH ADD_1 MSTORE_4 ADD_0', 'PUSH PUSH MLOAD_0 PUSH DUP2 MSTORE_0 PUSH PUSH DUP3 PUSH ADD_2 MSTORE_1 DUP2 PUSH ADD_3 MSTORE_2 PUSH DUP2 PUSH ADD_4 MSTORE_3 PUSH DUP2 PUSH ADD_1 MSTORE_4 ADD_0', 'PUSH MLOAD_0 PUSH DUP2 MSTORE_0 PUSH DUP1 PUSH DUP4 PUSH ADD_2 MSTORE_1 DUP3 ADD_3 MSTORE_2 PUSH PUSH DUP3 ADD_4 MSTORE_3 PUSH PUSH DUP3 ADD_1 MSTORE_4 PUSH ADD_0']","[0, 0, 0]","[38.89, 38.89, 88.84]",True,11.74,PUSH MLOAD_0 PUSH PUSH PUSH DUP4 ADD_2 PUSH DUP5 MSTORE_0 MSTORE_1 DUP2 PUSH ADD_3 MSTORE_2 PUSH PUSH DUP3 ADD_4 MSTORE_3 PUSH PUSH DUP3 PUSH ADD_1 MSTORE_4 ADD_0,0.0
8,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block100,60.0,44.95,True,True,0,27,"['PUSH MLOAD_0 PUSH PUSH DUP3 MSTORE_0 PUSH DUP3 ADD_3 PUSH DUP4 PUSH ADD_2 MSTORE_1 MSTORE_2 PUSH DUP2 PUSH ADD_4 MSTORE_3 PUSH PUSH DUP3 ADD_1 MSTORE_4 PUSH ADD_0', 'PUSH MLOAD_0 PUSH PUSH DUP3 MSTORE_0 PUSH DUP3 ADD_3 PUSH DUP4 PUSH ADD_2 MSTORE_1 MSTORE_2 PUSH DUP2 PUSH ADD_4 MSTORE_3 PUSH PUSH DUP3 ADD_1 MSTORE_4 PUSH ADD_0', 'PUSH MLOAD_0 PUSH DUP2 PUSH ADD_2 PUSH DUP4 MSTORE_0 MSTORE_1 PUSH PUSH PUSH PUSH DUP5 ADD_3 MSTORE_2 DUP3 ADD_4 MSTORE_3 PUSH PUSH DUP3 ADD_1 MSTORE_4 PUSH ADD_0', 'PUSH MLOAD_0 PUSH DUP2 PUSH ADD_2 PUSH DUP4 MSTORE_0 MSTORE_1 PUSH PUSH PUSH PUSH DUP5 ADD_3 MSTORE_2 DUP3 ADD_4 MSTORE_3 PUSH PUSH DUP3 ADD_1 MSTORE_4 PUSH ADD_0']","[0, 0, 0, 0]","[13.15, 13.16, 44.91, 44.96]",True,11.53,PUSH MLOAD_0 PUSH PUSH DUP3 PUSH ADD_2 PUSH DUP5 MSTORE_0 MSTORE_1 PUSH PUSH DUP4 ADD_3 MSTORE_2 PUSH DUP3 PUSH ADD_4 MSTORE_3 DUP2 PUSH ADD_1 MSTORE_4 PUSH ADD_0,0.0
9,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block,60.0,56.45,True,True,0,27,"['PUSH MLOAD_0 PUSH DUP2 PUSH DUP4 MSTORE_0 PUSH ADD_2 MSTORE_1 PUSH PUSH PUSH PUSH DUP5 ADD_3 MSTORE_2 DUP3 ADD_4 MSTORE_3 PUSH DUP2 PUSH ADD_1 MSTORE_4 PUSH ADD_0', 'PUSH MLOAD_0 PUSH DUP2 PUSH DUP4 MSTORE_0 PUSH ADD_2 MSTORE_1 PUSH PUSH PUSH PUSH DUP5 ADD_3 MSTORE_2 DUP3 ADD_4 MSTORE_3 PUSH DUP2 PUSH ADD_1 MSTORE_4 PUSH ADD_0', 'PUSH MLOAD_0 PUSH DUP2 MSTORE_0 PUSH DUP2 PUSH PUSH DUP3 ADD_2 MSTORE_1 PUSH PUSH DUP5 ADD_3 MSTORE_2 PUSH ADD_4 MSTORE_3 PUSH PUSH DUP3 ADD_1 MSTORE_4 PUSH ADD_0', 'PUSH MLOAD_0 PUSH DUP2 PUSH ADD_2 PUSH DUP4 MSTORE_0 MSTORE_1 PUSH DUP2 PUSH PUSH DUP5 ADD_3 MSTORE_2 PUSH DUP2 PUSH ADD_4 MSTORE_3 PUSH ADD_1 MSTORE_4 PUSH ADD_0']","[0, 0, 0, 0]","[23.93, 23.94, 47.56, 56.46]",True,8.46,PUSH MLOAD_0 PUSH DUP2 PUSH ADD_2 PUSH DUP4 MSTORE_0 MSTORE_1 PUSH DUP2 PUSH ADD_3 MSTORE_2 PUSH PUSH PUSH DUP4 PUSH ADD_4 MSTORE_3 PUSH DUP4 ADD_1 MSTORE_4 ADD_0,0.0
