,block_id,timeout,hitting_set_time,hitting_set_cost,hitting_set_found_optimal,hitting_set_model_found,hard_time,hard_cost,oms_time,oms_cost,oms_found_optimal,oms_model_found,z3_time,z3_cost,z3_found_optimal,z3_model_found
0,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block148_input_z3.smt2,50.0,12.76,6,True,True,9.18,3.0,19.63,6,True,True,42.897,6,True,True
1,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block135_input_z3.smt2,60.0,48.71,0,True,True,33.68,0.0,14.732000000000001,0,True,True,43.908,0,True,True
2,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block104_input_z3.smt2,50.0,50.0,10,False,True,50.02,,50.177,7,False,True,50.01,0,False,True
3,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block81_input_z3.smt2,60.0,41.09,0,True,True,30.25,0.0,17.041,0,True,True,59.867,0,False,True
4,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block70_input_z3.smt2,50.0,50.0,8,False,True,50.02,,50.118,10,False,True,49.985,0,False,True
5,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block74_input_z3.smt2,60.0,38.78,0,True,True,60.01,,15.853,0,True,True,49.218,0,True,True
6,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block92.0_input_z3.smt2,30.0,14.64,1,True,True,30.03,,10.939,1,True,True,29.968000000000004,0,False,True
7,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block159_input_z3.smt2,60.0,57.69,0,True,True,60.02,,22.293000000000003,0,True,True,38.738,0,True,True
8,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block100_input_z3.smt2,60.0,56.07,0,True,True,28.39,0.0,19.569000000000003,0,True,True,34.266999999999996,0,True,True
9,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block322_input_z3.smt2,60.0,52.05,0,True,True,22.11,0.0,13.262,0,True,True,25.813000000000002,0,True,True
10,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block179_input_z3.smt2,30.0,20.54,2,True,True,5.48,0.0,24.002,2,True,True,16.659000000000002,2,True,True
11,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block75_input_z3.smt2,60.0,49.7,0,True,True,34.46,0.0,19.287,0,True,True,34.826,0,True,True
12,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block6.0_input_z3.smt2,20.0,20.0,9,False,True,19.39,0.0,20.090999999999998,2,False,True,20.026,2,False,True
13,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block54_input_z3.smt2,60.0,39.21,0,True,True,60.02,,14.504000000000001,0,True,True,42.785,0,True,True
14,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_initial_block27_input_z3.smt2,30.0,30.0,0,False,True,14.16,0.0,30.076,0,False,True,30.0,0,False,True
15,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block47_input_z3.smt2,30.0,4.35,6,True,True,6.04,0.0,6.202000000000001,6,True,True,19.607,6,True,True
16,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block198.0_input_z3.smt2,10.0,3.94,4,True,True,10.01,,1.724,4,True,True,10.045,0,False,True
17,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block194_input_z3.smt2,60.0,37.06,0,True,True,16.95,0.0,17.83,0,True,True,34.443000000000005,0,True,True
18,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block166_input_z3.smt2,60.0,40.63,0,True,True,40.68,0.0,19.746,0,True,True,34.507,0,True,True
19,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block230_input_z3.smt2,50.0,13.22,1,True,True,7.39,1.0,12.362,1,True,True,12.47,1,True,True
20,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block84_input_z3.smt2,60.0,30.19,0,True,True,13.43,0.0,13.662,0,True,True,30.191,0,True,True
21,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_Ownable_initial_block2.0_input_z3.smt2,20.0,5.57,7,True,True,8.42,0.0,18.735,7,True,True,15.72,7,True,True
22,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block184_input_z3.smt2,50.0,6.0,2,True,True,5.3,0.0,2.351,2,True,True,11.749,2,True,True
23,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block203_input_z3.smt2,40.0,40.37,5,False,True,28.6,0.0,11.526,5,True,True,40.005,0,False,True
24,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block78_input_z3.smt2,50.0,4.29,2,True,True,7.32,0.0,3.057,2,True,True,11.536,2,True,True
25,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block72_input_z3.smt2,60.0,57.51,0,True,True,27.55,0.0,25.479,0,True,True,52.738,0,True,True
26,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block374_input_z3.smt2,20.0,20.0,5,False,True,8.74,0.0,20.088,0,False,True,20.016,0,False,True
27,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block217_input_z3.smt2,50.0,50.0,7,False,True,50.01,,50.163000000000004,1,False,True,50.016000000000005,0,False,True
28,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block236_input_z3.smt2,60.0,30.14,0,True,True,35.5,0.0,13.539000000000001,0,True,True,59.879,0,False,True
29,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block133_input_z3.smt2,60.0,40.7,0,True,True,60.01,,18.602,0,True,True,34.849000000000004,0,True,True
30,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block174_input_z3.smt2,30.0,30.0,6,False,True,11.34,0.0,30.115,2,False,True,30.006999999999998,0,False,True
31,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block99_input_z3.smt2,50.0,55.97,0,False,True,50.02,,50.108999999999995,0,False,True,49.981,0,False,True
32,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block98_input_z3.smt2,60.0,50.0,0,True,True,26.83,0.0,16.722,0,True,True,45.126000000000005,0,True,True
33,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block86_input_z3.smt2,60.0,27.9,0,True,True,60.01,,12.74,0,True,True,42.632,0,True,True
34,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block205_input_z3.smt2,50.0,50.0,,False,False,50.02,,50.199,0,False,True,49.937,1,False,True
35,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block145_input_z3.smt2,40.0,14.17,8,True,True,40.02,,40.12,1,False,True,40.004,0,False,True
36,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block67_input_z3.smt2,60.0,28.16,0,True,True,26.25,0.0,20.408,0,True,True,59.886,0,False,True
37,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block125_input_z3.smt2,60.0,27.42,0,True,True,20.11,0.0,22.615,0,True,True,38.088,0,True,True
