,block_id,timeout_in_s,solver_time_in_sec,has_model,finished_execution,lower_bound,upper_bound,models_found,cost_per_model_found,found_model_times,hard_is_sat,hard_time_in_sec,hard_found_model,hard_cost_found
0,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block225,40.0,40.89,False,False,-9,28,[],[],[],False,40.02,,
1,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block6.1,50.0,137.15,True,False,-12,38,"['POP PUSH SLOAD_0 PUSH PUSH KECCAK256_0 SSTORE_0 PUSH PUSH MSTORE_1 PUSH PUSH MLOAD_1 PUSH DUP2 MSTORE_2 ADD_0 PUSH MLOAD_0 PUSH SWAP2 SWAP1 CALLER_0 PUSH SWAP2 SWAP1 DUP2 SWAP5 SWAP1 PUSH SWAP2 POP SWAP1 MSTORE_0 PUSH SWAP3 SUB_0 CALLER_0 SWAP4', 'POP PUSH SLOAD_0 PUSH PUSH KECCAK256_0 SSTORE_0 PUSH PUSH MSTORE_1 PUSH PUSH MLOAD_1 PUSH DUP2 MSTORE_2 ADD_0 PUSH MLOAD_0 PUSH SWAP2 SWAP1 CALLER_0 PUSH SWAP2 SWAP1 DUP2 SWAP5 SWAP1 PUSH SWAP2 POP SWAP1 MSTORE_0 PUSH SWAP3 SUB_0 CALLER_0 SWAP4', 'POP PUSH MLOAD_1 PUSH DUP2 PUSH ADD_0 SWAP2 DUP2 PUSH PUSH MSTORE_1 PUSH PUSH DUP4 SWAP1 SWAP4 POP MSTORE_2 PUSH SLOAD_0 SWAP2 CALLER_0 PUSH MSTORE_0 KECCAK256_0 SSTORE_0 MLOAD_0 DUP1 CALLER_0 SWAP3 SUB_0 PUSH SWAP1 SWAP2 PUSH SWAP3 SWAP1 NOP']","[0, 0, 1]","[45.28, 45.28, 48.25]",False,50.02,,
2,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block31,10.0,17.46,True,False,-22,22,"['PUSH MLOAD_0 PUSH PUSH PUSH DUP6 ADD_1 AND_0 ADD_0 PUSH AND_1 DUP2 ADD_2 SWAP1 DUP3 SWAP3 DUP3 GT_0 DUP3 DUP3 SWAP1 LT_0 OR_0 ISZERO_0', 'PUSH MLOAD_0 PUSH PUSH PUSH DUP6 ADD_1 AND_0 ADD_0 PUSH AND_1 DUP2 ADD_2 SWAP1 DUP3 SWAP3 DUP3 GT_0 DUP3 DUP3 SWAP1 LT_0 OR_0 ISZERO_0', 'DUP2 PUSH ADD_1 PUSH AND_0 PUSH ADD_0 PUSH AND_1 PUSH MLOAD_0 DUP1 DUP3 ADD_2 SWAP2 POP DUP3 DUP3 GT_0 DUP2 DUP4 LT_0 OR_0 ISZERO_0', 'PUSH MLOAD_0 PUSH DUP4 ADD_1 PUSH AND_0 PUSH ADD_0 PUSH AND_1 DUP2 ADD_2 SWAP1 DUP3 DUP3 GT_0 DUP2 SWAP2 DUP4 LT_0 OR_0 ISZERO_0 NOP', 'PUSH MLOAD_0 PUSH PUSH DUP5 ADD_1 PUSH AND_0 ADD_0 PUSH AND_1 DUP2 ADD_2 SWAP1 DUP1 DUP3 LT_0 DUP4 DUP4 GT_0 OR_0 ISZERO_0 NOP NOP', 'PUSH MLOAD_0 PUSH PUSH DUP5 ADD_1 PUSH AND_0 ADD_0 PUSH AND_1 DUP2 ADD_2 SWAP1 DUP1 DUP3 LT_0 DUP4 DUP4 GT_0 OR_0 ISZERO_0 NOP NOP']","[0, 0, 0, 1, 2, 2]","[10.3, 10.3, 11.41, 12.84, 17.43, 17.46]",False,10.01,,
3,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block301,10.0,15.38,False,False,-2,38,[],[],[],False,10.03,,
4,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block36,20.0,22.17,False,False,-2,37,[],[],[],False,20.01,,
5,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block179,60.0,64.44,False,False,-2,40,[],[],[],False,60.01,,
6,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block486,10.0,10.33,False,False,-2,16,[],[],[],False,10.02,,
7,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block80,30.0,34.67,False,False,-2,31,[],[],[],False,30.01,,
8,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block,40.0,47.34,False,False,-2,28,[],[],[],False,40.01,,
9,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block124,40.0,43.2,False,False,-2,27,[],[],[],False,40.02,,
10,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block137,50.0,126.63,True,False,-7,28,"['PUSH DUP5 PUSH AND_1 DUP7 SWAP3 PUSH PUSH KECCAK256_0 SWAP6 SWAP4 PUSH AND_0 PUSH MSTORE_0 DUP6 SWAP2 SWAP3 POP DUP4 SWAP6 SSTORE_0 SWAP1 PUSH DUP3 SLOAD_0 SWAP2 PUSH MSTORE_2 PUSH MSTORE_1 PUSHTAG_0 PUSH SWAP2 DUP7 SWAP1', 'PUSH DUP5 PUSH AND_1 DUP7 SWAP3 PUSH PUSH KECCAK256_0 SWAP6 SWAP4 PUSH AND_0 PUSH MSTORE_0 DUP6 SWAP2 SWAP3 POP DUP4 SWAP6 SSTORE_0 SWAP1 PUSH DUP3 SLOAD_0 SWAP2 PUSH MSTORE_2 PUSH MSTORE_1 PUSHTAG_0 PUSH SWAP2 DUP7 SWAP1', 'PUSH PUSH SWAP1 KECCAK256_0 PUSH DUP1 PUSH DUP9 AND_0 PUSH MSTORE_0 POP DUP2 DUP7 PUSH AND_1 PUSH MSTORE_2 DUP6 SWAP4 PUSH SWAP2 SSTORE_0 MSTORE_1 PUSH PUSHTAG_0 DUP6 DUP4 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP', 'DUP4 SWAP3 PUSH PUSH KECCAK256_0 SWAP2 DUP3 SSTORE_0 PUSH PUSH MSTORE_1 SWAP1 PUSH DUP3 SWAP5 AND_1 DUP7 PUSH AND_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH PUSHTAG_0 DUP6 DUP4 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP NOP']","[0, 0, 7, 8]","[24.46, 24.46, 65.75, 76.57]",False,50.03,,
11,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block,40.0,41.51,False,False,-2,29,[],[],[],False,40.01,,
12,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block150,50.0,126.67,True,False,-18,21,"['PUSH PUSH KECCAK256_0 PUSH DUP3 AND_0 DUP2 DUP9 PUSH PUSH MSTORE_1 PUSH MSTORE_0 PUSH MSTORE_3 PUSH MSTORE_2 SLOAD_0 DUP3 LT_0 ISZERO_0 DUP5 SWAP5 POP DUP2 SWAP2 POP', 'PUSH PUSH KECCAK256_0 PUSH DUP3 AND_0 DUP2 DUP9 PUSH PUSH MSTORE_1 PUSH MSTORE_0 PUSH MSTORE_3 PUSH MSTORE_2 SLOAD_0 DUP3 LT_0 ISZERO_0 DUP5 SWAP5 POP DUP2 SWAP2 POP', 'DUP1 SWAP1 PUSH AND_0 DUP7 PUSH MSTORE_0 PUSH MSTORE_2 DUP2 PUSH PUSH KECCAK256_0 PUSH DUP5 PUSH PUSH MSTORE_1 DUP3 DUP3 MSTORE_3 POP POP SLOAD_0 SWAP1 LT_0 ISZERO_0', 'PUSH PUSH KECCAK256_0 DUP7 PUSH MSTORE_0 PUSH PUSH DUP2 MSTORE_1 POP DUP6 DUP2 PUSH MSTORE_3 POP SLOAD_0 DUP2 PUSH AND_0 PUSH MSTORE_2 DUP3 LT_0 ISZERO_0 SWAP2 SWAP2', 'PUSH DUP3 PUSH PUSH DUP10 DUP2 MSTORE_0 PUSH PUSH MSTORE_1 PUSH DUP6 AND_0 DUP2 MSTORE_2 KECCAK256_0 DUP1 SLOAD_0 SWAP3 MSTORE_3 LT_0 ISZERO_0 NOP NOP NOP NOP NOP', 'PUSH PUSH PUSH KECCAK256_0 DUP1 SLOAD_0 DUP5 LT_0 DUP9 PUSH MSTORE_0 SWAP2 DUP4 AND_0 PUSH MSTORE_2 PUSH PUSH MSTORE_1 PUSH MSTORE_3 ISZERO_0 NOP NOP NOP NOP NOP', 'PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 PUSH DUP3 AND_0 DUP8 PUSH MSTORE_0 PUSH MSTORE_2 SLOAD_0 DUP3 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 PUSH PUSH MSTORE_1 DUP1 DUP8 PUSH MSTORE_0 PUSH MSTORE_3 SLOAD_0 DUP3 LT_0 ISZERO_0 PUSH DUP3 AND_0 PUSH MSTORE_2 NOP NOP NOP NOP NOP NOP', 'PUSH DUP2 PUSH AND_0 PUSH DUP9 DUP2 MSTORE_0 MSTORE_2 PUSH MSTORE_1 PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 DUP3 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP']","[0, 0, 0, 0, 5, 5, 6, 6, 6]","[16.09, 16.1, 67.99, 76.75, 89.63, 122.05, 124.32, 126.12, 126.66]",False,50.02,,
13,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block123.0,30.0,30.5,False,False,-3,26,[],[],[],False,30.02,,
14,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block107,50.0,112.87,True,False,-19,22,"['DUP1 CALLER_0 PUSH MSTORE_0 PUSH AND_0 PUSH DUP2 LT_0 PUSH DUP2 PUSH PUSH PUSH MSTORE_1 SWAP2 SWAP1 POP KECCAK256_0 DUP8 PUSH DUP3 PUSH MSTORE_3 MSTORE_2 SWAP1 SWAP2 PUSH SWAP3', 'DUP1 CALLER_0 PUSH MSTORE_0 PUSH AND_0 PUSH DUP2 LT_0 PUSH DUP2 PUSH PUSH PUSH MSTORE_1 SWAP2 SWAP1 POP KECCAK256_0 DUP8 PUSH DUP3 PUSH MSTORE_3 MSTORE_2 SWAP1 SWAP2 PUSH SWAP3', 'PUSH PUSH DUP2 KECCAK256_0 PUSH DUP4 AND_0 SWAP6 DUP2 PUSH PUSH DUP10 LT_0 SWAP5 CALLER_0 SWAP1 MSTORE_0 DUP10 PUSH MSTORE_2 PUSH DUP2 MSTORE_1 MSTORE_3 SWAP6 PUSH SWAP3 NOP NOP', 'CALLER_0 PUSH MSTORE_0 PUSH PUSH DUP7 PUSH MSTORE_2 MSTORE_1 PUSH PUSH KECCAK256_0 PUSH SWAP1 PUSH DUP4 AND_0 PUSH DUP2 DUP4 PUSH MSTORE_3 LT_0 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH CALLER_0 DUP3 MSTORE_0 PUSH PUSH DUP9 DUP5 MSTORE_2 MSTORE_1 PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 DUP3 PUSH AND_0 PUSH DUP2 LT_0 NOP NOP NOP NOP NOP NOP NOP', 'CALLER_0 PUSH MSTORE_0 PUSH DUP6 PUSH MSTORE_2 PUSH PUSH KECCAK256_0 PUSH DUP4 AND_0 DUP2 PUSH PUSH MSTORE_1 PUSH MSTORE_3 PUSH DUP2 LT_0 NOP NOP NOP NOP NOP NOP NOP', 'CALLER_0 PUSH MSTORE_0 PUSH DUP6 PUSH MSTORE_2 PUSH DUP2 KECCAK256_0 PUSH PUSH MSTORE_1 PUSH DUP2 PUSH MSTORE_3 DUP4 AND_0 PUSH DUP2 LT_0 NOP NOP NOP NOP NOP NOP NOP', 'CALLER_0 PUSH MSTORE_0 PUSH DUP6 PUSH MSTORE_2 PUSH DUP2 KECCAK256_0 PUSH PUSH MSTORE_1 PUSH DUP2 PUSH MSTORE_3 DUP4 AND_0 PUSH DUP2 LT_0 NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH DUP2 KECCAK256_0 DUP7 CALLER_0 DUP4 MSTORE_0 PUSH MSTORE_2 PUSH PUSH MSTORE_1 DUP1 PUSH MSTORE_3 DUP3 PUSH AND_0 PUSH DUP2 LT_0 NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH DUP2 KECCAK256_0 DUP7 CALLER_0 DUP4 MSTORE_0 PUSH MSTORE_2 PUSH PUSH MSTORE_1 DUP1 PUSH MSTORE_3 DUP3 PUSH AND_0 PUSH DUP2 LT_0 NOP NOP NOP NOP NOP NOP NOP']","[0, 0, 2, 6, 7, 7, 7, 7, 7, 7]","[34.45, 34.45, 41.47, 94.98, 99.68, 101.93, 106.09, 106.12, 112.85, 112.87]",False,50.02,,
15,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block15,10.0,13.72,False,False,-2,22,[],[],[],False,10.0,,
