,block_id,timeout,hitting_set_time,hitting_set_cost,hitting_set_found_optimal,hard_time,hard_cost,oms_time,oms_cost,oms_found_optimal,z3_time,z3_cost,z3_found_optimal
0,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block245_input_z3.smt2,40.0,40.0,5,False,27.97,0.0,40.111999999999995,0,False,40.016999999999996,,False
1,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block115_input_z3.smt2,50.0,50.28,5,False,50.02,,50.107,0,False,49.853,,False
2,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block151_input_z3.smt2,20.0,17.13,6,True,20.01,,18.605999999999998,6,True,20.039,,False
3,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block110_input_z3.smt2,50.0,50.0,0,False,50.02,,50.165,2,False,50.013000000000005,,False
4,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_initial_block40_input_z3.smt2,10.0,10.0,0,False,3.15,0.0,10.048,0,False,9.981,,False
5,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block100_input_z3.smt2,50.0,50.3,0,False,50.02,,50.148999999999994,0,False,49.986000000000004,,False
6,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block51_input_z3.smt2,50.0,50.0,0,False,42.84,0.0,50.125,0,False,49.98,,False
7,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block36_input_z3.smt2,10.0,,,False,10.01,,10.086,0,False,10.033,,False
8,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block215_input_z3.smt2,10.0,12.6,1,False,10.02,,10.082,0,False,10.041,,False
9,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block318_input_z3.smt2,50.0,,,False,50.02,,50.137,0,False,49.997,,False
10,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block56.0_input_z3.smt2,40.0,,,False,40.02,,40.117,1,False,39.97,,False
11,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block92.1_input_z3.smt2,50.0,,,False,50.0,,50.163000000000004,2,False,50.026,,False
12,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block211_input_z3.smt2,50.0,,,False,50.02,,50.166000000000004,8,False,49.958999999999996,,False
13,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block370_input_z3.smt2,20.0,20.68,2,False,20.02,,13.155999999999999,6,True,20.0,,False
14,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block168_input_z3.smt2,30.0,30.0,1,False,30.01,,30.113000000000003,1,False,30.000999999999998,,False
