,block_id,timeout_in_s,solver_time_in_sec,has_model,finished_execution,lower_bound,upper_bound,models_found,cost_per_model_found,found_model_times,hard_is_sat,hard_time_in_sec,hard_found_model,hard_cost_found
0,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block207,50.0,78.55,True,False,-19,21,"['DUP7 PUSH MSTORE_0 PUSH PUSH KECCAK256_0 DUP7 CALLER_0 SWAP3 SWAP3 PUSH MSTORE_2 PUSH PUSH SWAP2 PUSH PUSH MSTORE_1 AND_0 SWAP1 DUP2 DUP4 PUSH SWAP3 MSTORE_3 SWAP2 LT_0', 'DUP7 PUSH MSTORE_0 PUSH PUSH KECCAK256_0 DUP7 CALLER_0 SWAP3 SWAP3 PUSH MSTORE_2 PUSH PUSH SWAP2 PUSH PUSH MSTORE_1 AND_0 SWAP1 DUP2 DUP4 PUSH SWAP3 MSTORE_3 SWAP2 LT_0', 'DUP7 PUSH PUSH PUSH KECCAK256_0 PUSH DUP10 AND_0 SWAP3 PUSH MSTORE_0 SWAP2 SWAP9 SWAP1 PUSH CALLER_0 PUSH SWAP2 MSTORE_2 MSTORE_1 SWAP8 DUP2 PUSH MSTORE_3 PUSH DUP2 LT_0', 'PUSH PUSH KECCAK256_0 PUSH PUSH MSTORE_1 SWAP6 DUP7 PUSH MSTORE_3 SWAP6 PUSH DUP8 DUP3 PUSH DUP12 SWAP2 POP MSTORE_0 AND_0 PUSH PUSH CALLER_0 DUP4 SWAP2 MSTORE_2 LT_0', 'PUSH PUSH KECCAK256_0 PUSH PUSH MSTORE_1 SWAP6 DUP7 PUSH MSTORE_3 SWAP6 PUSH DUP8 DUP3 PUSH DUP12 SWAP2 POP MSTORE_0 AND_0 PUSH PUSH CALLER_0 DUP4 SWAP2 MSTORE_2 LT_0', 'PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 CALLER_0 DUP9 DUP9 PUSH SWAP3 SWAP2 DUP4 MSTORE_0 SWAP2 MSTORE_2 SWAP4 SWAP4 PUSH AND_0 PUSH DUP2 LT_0 DUP3 PUSH MSTORE_3 NOP', 'PUSH CALLER_0 PUSH DUP10 PUSH MSTORE_0 MSTORE_2 PUSH KECCAK256_0 PUSH PUSH MSTORE_1 DUP7 PUSH AND_0 PUSH DUP3 PUSH MSTORE_3 DUP2 LT_0 NOP NOP NOP NOP NOP NOP', 'PUSH CALLER_0 PUSH DUP10 PUSH MSTORE_0 MSTORE_2 PUSH KECCAK256_0 PUSH PUSH MSTORE_1 DUP7 PUSH AND_0 PUSH DUP3 PUSH MSTORE_3 DUP2 LT_0 NOP NOP NOP NOP NOP NOP', 'PUSH DUP8 PUSH MSTORE_0 PUSH KECCAK256_0 DUP7 PUSH AND_0 PUSH PUSH CALLER_0 PUSH MSTORE_2 PUSH MSTORE_1 DUP3 PUSH MSTORE_3 DUP2 LT_0 NOP NOP NOP NOP NOP NOP', 'PUSH DUP8 PUSH MSTORE_0 PUSH KECCAK256_0 DUP7 PUSH AND_0 PUSH PUSH CALLER_0 PUSH MSTORE_2 PUSH MSTORE_1 DUP3 PUSH MSTORE_3 DUP2 LT_0 NOP NOP NOP NOP NOP NOP', 'PUSH DUP8 PUSH MSTORE_0 PUSH KECCAK256_0 DUP7 PUSH AND_0 PUSH PUSH CALLER_0 PUSH MSTORE_2 PUSH MSTORE_1 DUP3 PUSH MSTORE_3 DUP2 LT_0 NOP NOP NOP NOP NOP NOP']","[0, 0, 0, 0, 0, 1, 6, 6, 6, 6, 6]","[34.25, 34.26, 42.11, 63.42, 63.44, 68.32, 77.46, 77.49, 78.48, 78.51, 78.54]",True,38.91,PUSH DUP7 AND_0 DUP1 PUSH PUSH PUSH KECCAK256_0 SWAP3 LT_0 PUSH DUP11 DUP2 MSTORE_0 CALLER_0 PUSH SWAP2 MSTORE_2 PUSH MSTORE_1 DUP3 DUP2 PUSH SWAP3 POP SWAP2 MSTORE_3,0.0
1,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block64,50.0,93.97,True,False,-17,20,"['PUSH DUP3 AND_0 PUSH MSTORE_0 PUSH AND_1 PUSH SWAP2 POP SWAP2 SWAP2 SWAP1 MSTORE_2 PUSH SWAP1 SWAP1 PUSH MSTORE_1 PUSH PUSH PUSH KECCAK256_0 SWAP2 SWAP1 SWAP2 DUP1 SLOAD_0 SWAP3 MSTORE_3', 'PUSH DUP3 AND_0 PUSH MSTORE_0 PUSH AND_1 PUSH SWAP2 POP SWAP2 SWAP2 SWAP1 MSTORE_2 PUSH SWAP1 SWAP1 PUSH MSTORE_1 PUSH PUSH PUSH KECCAK256_0 SWAP2 SWAP1 SWAP2 DUP1 SLOAD_0 SWAP3 MSTORE_3', 'PUSH AND_1 SWAP1 PUSH AND_0 PUSH MSTORE_0 PUSH MSTORE_2 PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 SWAP1 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP']","[0, 0, 10]","[22.09, 22.1, 40.03]",True,25.52,PUSH PUSH KECCAK256_0 DUP1 SWAP3 PUSH AND_0 PUSH PUSH SWAP6 PUSH SWAP1 SWAP6 SLOAD_0 SWAP2 MSTORE_1 SWAP5 MSTORE_0 PUSH MSTORE_3 PUSH SWAP1 AND_1 PUSH MSTORE_2 NOP NOP NOP NOP NOP,5.0
2,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block46,10.0,13.3,True,False,-12,12,"['DUP6 PUSH ADD_0 MLOAD_0 SWAP3 POP SWAP4 POP DUP1 DUP3 GT_0 ISZERO_0', 'DUP6 PUSH ADD_0 MLOAD_0 SWAP3 POP SWAP4 POP DUP1 DUP3 GT_0 ISZERO_0', 'DUP6 PUSH ADD_0 MLOAD_0 SWAP3 POP SWAP4 POP DUP1 DUP3 GT_0 ISZERO_0', 'SWAP4 PUSH DUP7 ADD_0 MLOAD_0 SWAP3 POP POP DUP1 DUP3 GT_0 ISZERO_0']","[0, 0, 0, 0]","[5.31, 5.31, 8.03, 9.75]",False,10.01,,
3,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block8,10.0,10.3,False,False,-2,17,[],[],[],True,6.07,SWAP1 SWAP3 POP POP PUSH SWAP2 SWAP3 SWAP4 POP POP ADD_0 PUSH AND_0 ADD_2 PUSH ADD_1 SWAP1,0.0
4,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block177,10.0,23.04,True,False,-10,13,"['POP SWAP5 SWAP4 POP POP POP PUSH PUSH SWAP4 ADD_0 DUP4 AND_0 ADD_2 PUSH ADD_1 SWAP2 POP', 'POP SWAP5 SWAP4 POP POP POP PUSH PUSH SWAP4 ADD_0 DUP4 AND_0 ADD_2 PUSH ADD_1 SWAP2 POP', 'SWAP2 POP SWAP4 POP POP POP SWAP1 PUSH ADD_0 PUSH AND_0 PUSH SWAP2 ADD_2 ADD_1 SWAP1 NOP', 'POP PUSH ADD_0 PUSH AND_0 SWAP4 POP POP POP ADD_2 PUSH ADD_1 SWAP1 NOP NOP NOP NOP', 'POP PUSH ADD_0 PUSH AND_0 SWAP4 POP POP POP ADD_2 PUSH ADD_1 SWAP1 NOP NOP NOP NOP', 'POP PUSH ADD_0 PUSH AND_0 SWAP4 POP POP POP ADD_2 PUSH ADD_1 SWAP1 NOP NOP NOP NOP', 'POP PUSH ADD_0 PUSH AND_0 SWAP4 POP POP POP ADD_2 PUSH ADD_1 SWAP1 NOP NOP NOP NOP']","[0, 0, 1, 4, 4, 4, 4]","[0.78, 0.79, 2.86, 6.12, 10.96, 10.98, 23.04]",True,5.03,SWAP2 POP PUSH ADD_0 PUSH AND_0 SWAP1 SWAP3 SWAP4 POP SWAP2 POP POP ADD_2 PUSH ADD_1 SWAP1,0.0
5,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block378.0,30.0,78.8,True,False,-16,22,"['PUSH RETURNDATASIZE_0 ADD_0 PUSH MLOAD_0 SWAP3 POP DUP3 RETURNDATASIZE_0 SWAP2 PUSH AND_0 ADD_2 PUSH MSTORE_0 PUSH DUP4 PUSH ADD_1 DUP3 DUP6 MSTORE_1', 'PUSH RETURNDATASIZE_0 ADD_0 PUSH MLOAD_0 SWAP3 POP DUP3 RETURNDATASIZE_0 SWAP2 PUSH AND_0 ADD_2 PUSH MSTORE_0 PUSH DUP4 PUSH ADD_1 DUP3 DUP6 MSTORE_1', 'PUSH RETURNDATASIZE_0 ADD_0 PUSH MLOAD_0 SWAP3 POP PUSH AND_0 DUP3 ADD_2 PUSH MSTORE_0 RETURNDATASIZE_0 DUP3 MSTORE_1 PUSH DUP3 ADD_1 PUSH RETURNDATASIZE_0 SWAP2']","[0, 0, 0]","[11.78, 11.79, 17.4]",True,28.15,PUSH MLOAD_0 PUSH RETURNDATASIZE_0 PUSH DUP4 SWAP6 POP ADD_0 AND_0 ADD_2 PUSH MSTORE_0 RETURNDATASIZE_0 DUP1 DUP4 MSTORE_1 PUSH DUP4 PUSH ADD_1 NOP,1.0
6,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block159.0,30.0,30.16,False,False,-4,22,[],[],[],True,10.65,PUSH MLOAD_0 PUSH PUSH RETURNDATASIZE_0 PUSH RETURNDATASIZE_0 ADD_0 PUSH AND_0 DUP5 ADD_2 PUSH MSTORE_0 DUP4 MSTORE_1 DUP3 RETURNDATASIZE_0 SWAP4 SWAP6 POP ADD_1,0.0
7,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block306,10.0,44.77,True,False,-12,16,"['SWAP6 SWAP3 POP DUP4 PUSH PUSH SWAP3 POP ADD_1 CALLDATALOAD_0 SWAP5 SWAP4 ADD_0 CALLDATALOAD_1 SWAP3 POP POP', 'SWAP6 SWAP3 POP DUP4 PUSH PUSH SWAP3 POP ADD_1 CALLDATALOAD_0 SWAP5 SWAP4 ADD_0 CALLDATALOAD_1 SWAP3 POP POP', 'SWAP5 POP POP POP PUSH DUP3 PUSH ADD_0 CALLDATALOAD_1 SWAP3 SWAP2 POP ADD_1 CALLDATALOAD_0 SWAP2 SWAP3 NOP']","[0, 0, 1]","[7.47, 7.48, 12.73]",False,10.01,,
8,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block528,50.0,57.32,False,False,-2,31,[],[],[],False,50.02,,
9,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block201,60.0,62.43,False,False,-2,30,[],[],[],False,60.02,,
