,block_id,timeout,hitting_set_time,hitting_set_cost,hitting_set_found_optimal,hitting_set_model_found,hard_time,hard_cost,oms_time,oms_cost,oms_found_optimal,oms_model_found,z3_time,z3_cost,z3_found_optimal,z3_model_found
0,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block225_input_z3.smt2,40.0,40.0,,False,False,40.02,,40.11,,False,False,40.033,,False,False
1,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block6.1_input_z3.smt2,50.0,50.0,1,False,True,50.02,,50.09,,False,False,50.011,,False,False
2,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block31_input_z3.smt2,10.0,10.3,0,False,True,10.01,,10.07,,False,False,10.005,,False,False
3,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block301_input_z3.smt2,10.0,10.0,,False,False,10.03,,10.138,,False,False,10.124,,False,False
4,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block36_input_z3.smt2,20.0,20.0,,False,False,20.01,,20.089000000000002,,False,False,20.025,,False,False
5,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block179_input_z3.smt2,60.0,60.0,,False,False,60.01,,60.152,,False,False,59.943999999999996,,False,False
6,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block486_input_z3.smt2,10.0,10.0,,False,False,10.02,,10.049,,False,False,9.977,,False,False
7,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block80_input_z3.smt2,30.0,30.0,,False,False,30.01,,30.104,,False,False,30.035999999999998,,False,False
8,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block222_input_z3.smt2,40.0,40.0,,False,False,40.01,,40.116,,False,False,40.03,,False,False
9,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block124_input_z3.smt2,40.0,40.0,,False,False,40.02,,40.068000000000005,,False,False,40.007,,False,False
10,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block137_input_z3.smt2,50.0,50.0,0,False,True,50.03,,50.141000000000005,,False,False,50.012,,False,False
11,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block233_input_z3.smt2,40.0,40.0,,False,False,40.01,,40.138000000000005,,False,False,40.042,,False,False
12,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block150_input_z3.smt2,50.0,50.0,0,False,True,50.02,,50.085,,False,False,49.967,,False,False
13,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block123.0_input_z3.smt2,30.0,30.0,,False,False,30.02,,30.066999999999997,,False,False,30.021,,False,False
14,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block107_input_z3.smt2,50.0,50.0,2,False,True,50.02,,50.085,,False,False,50.012,,False,False
15,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block153_input_z3.smt2,10.0,10.0,,False,False,10.0,,10.073,,False,False,10.05,,False,False
16,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block180_input_z3.smt2,60.0,60.0,,False,False,60.02,,60.174,,False,False,59.988,,False,False
17,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block203_input_z3.smt2,30.0,30.0,,False,False,30.02,,30.122,,False,False,30.058000000000003,,False,False
18,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block76_input_z3.smt2,30.0,30.0,,False,False,30.02,,30.076999999999998,,False,False,30.011999999999997,,False,False
19,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block178_input_z3.smt2,60.0,60.0,,False,False,60.03,,60.151,,False,False,59.974,,False,False
20,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block40_input_z3.smt2,20.0,20.0,,False,False,20.02,,20.066,,False,False,20.024,,False,False
21,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block219.1_input_z3.smt2,20.0,20.0,,False,False,20.02,,20.073,,False,False,20.033,,False,False
22,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block230_input_z3.smt2,40.0,40.0,,False,False,40.04,,40.122,,False,False,40.036,,False,False
23,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block10_input_z3.smt2,40.0,40.26,0,False,True,40.02,,40.07,,False,False,40.004,,False,False
24,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block113_input_z3.smt2,50.0,50.0,0,False,True,50.02,,50.093,,False,False,49.989,,False,False
25,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block146_input_z3.smt2,30.0,30.0,0,False,True,23.8,0.0,30.058000000000003,,False,False,30.01,,False,False
26,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block162_input_z3.smt2,30.0,30.0,,False,False,30.02,,30.108,,False,False,30.029,,False,False
27,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block152_input_z3.smt2,50.0,50.0,9,False,True,28.64,0.0,50.06,,False,False,49.928999999999995,,False,False
28,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block166_input_z3.smt2,20.0,20.0,0,False,True,20.01,,20.06,,False,False,19.991,,False,False
29,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block41_input_z3.smt2,10.0,13.02,0,False,True,10.01,,10.042,,False,False,9.995,,False,False
30,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block50_input_z3.smt2,50.0,50.0,3,False,True,21.84,0.0,50.086999999999996,,False,False,49.99100000000001,,False,False
31,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block138_input_z3.smt2,30.0,30.0,,False,False,30.01,,30.079,,False,False,30.013,,False,False
32,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block85_input_z3.smt2,30.0,30.0,,False,False,30.02,,30.103,,False,False,30.031,,False,False
33,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block90_input_z3.smt2,40.0,40.0,,False,False,37.22,0.0,40.08,,False,False,39.953,,False,False
34,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block128_input_z3.smt2,20.0,20.0,4,False,True,14.48,0.0,20.048,,False,False,19.997,,False,False
35,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block177_input_z3.smt2,60.0,60.0,,False,False,60.02,,60.165,,False,False,59.853,,False,False
36,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block75_input_z3.smt2,30.0,30.0,,False,False,30.02,,30.063000000000002,,False,False,30.013,,False,False
37,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block53_input_z3.smt2,50.0,50.0,2,False,True,29.64,0.0,50.074,,False,False,49.99100000000001,,False,False
38,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block69_input_z3.smt2,20.0,20.0,,False,False,20.01,,20.07,,False,False,20.006,,False,False
39,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block225_input_z3.smt2,40.0,42.04,0,False,True,40.02,,40.074,,False,False,40.018,,False,False
40,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block143_input_z3.smt2,50.0,50.0,5,False,True,50.02,,50.083,,False,False,49.89,,False,False
41,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block167_input_z3.smt2,10.0,10.0,,False,False,10.0,,10.078,,False,False,10.04,,False,False
42,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block146_input_z3.smt2,40.0,40.0,,False,False,40.02,,40.076,,False,False,40.010999999999996,,False,False
43,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block302_input_z3.smt2,10.0,10.0,,False,False,10.02,,10.05,,False,False,10.025,,False,False
44,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block214_input_z3.smt2,30.0,30.0,,False,False,30.03,,30.104,,False,False,30.057,,False,False
45,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block122_input_z3.smt2,40.0,40.0,,False,False,40.02,,40.09,,False,False,39.973,,False,False
46,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_initial_block3.1_input_z3.smt2,50.0,50.0,,False,False,50.04,,50.097,,False,False,49.943999999999996,,False,False
47,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block45.0_input_z3.smt2,40.0,40.0,,False,False,40.01,,40.086,,False,False,39.989000000000004,,False,False
48,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block210_input_z3.smt2,30.0,30.0,,False,False,30.07,,30.108,,False,False,29.986,,False,False
49,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block101_input_z3.smt2,40.0,40.0,,False,False,40.05,,40.095,,False,False,40.035,,False,False
50,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block406.0_input_z3.smt2,50.0,50.0,,False,False,50.01,,50.11,,False,False,50.028999999999996,,False,False
51,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block171.1_input_z3.smt2,20.0,20.0,,False,False,20.01,,20.07,,False,False,20.024,,False,False
52,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block57_input_z3.smt2,30.0,30.0,,False,False,30.06,,30.113000000000003,,False,False,30.031,,False,False
53,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block397_input_z3.smt2,40.0,40.0,,False,False,40.02,,40.054,,False,False,39.993,,False,False
54,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block240_input_z3.smt2,40.0,40.0,,False,False,40.05,,40.091,,False,False,40.022,,False,False
55,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block465_input_z3.smt2,10.0,10.0,,False,False,10.01,,10.065,,False,False,10.059,,False,False
56,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block328_input_z3.smt2,40.0,40.0,,False,False,40.02,,40.064,,False,False,39.963,,False,False
57,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block11.0_input_z3.smt2,30.0,30.0,,False,False,30.02,,30.068,,False,False,30.023000000000003,,False,False
58,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block107_input_z3.smt2,50.0,50.0,3,False,True,24.97,0.0,50.086000000000006,,False,False,50.001999999999995,,False,False
59,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block120.0_input_z3.smt2,50.0,50.0,,False,False,50.01,,50.146,,False,False,50.067,,False,False
60,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block40_input_z3.smt2,30.0,30.0,,False,False,30.01,,30.105,,False,False,30.018,,False,False
61,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block65_input_z3.smt2,20.0,20.0,,False,False,20.05,,20.087,,False,False,20.049,,False,False
62,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block209_input_z3.smt2,10.0,10.0,,False,False,10.01,,10.052,,False,False,10.031,,False,False
63,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block38_input_z3.smt2,50.0,52.96,9,False,True,37.19,0.0,50.089,,False,False,49.998000000000005,,False,False
64,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block155_input_z3.smt2,30.0,30.0,,False,False,30.02,,30.052,,False,False,29.965,,False,False
65,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block115.1_input_z3.smt2,50.0,50.0,,False,False,50.01,,50.11,,False,False,50.023,,False,False
66,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block211_input_z3.smt2,60.0,60.0,,False,False,60.01,,60.138000000000005,,False,False,59.902,,False,False
67,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block194_input_z3.smt2,20.0,20.0,2,False,True,20.02,,20.047,,False,False,20.016,,False,False
68,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_initial_block25_input_z3.smt2,10.0,10.0,,False,False,10.01,,10.065,,False,False,10.046,,False,False
69,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block216_input_z3.smt2,30.0,30.0,,False,False,30.02,,30.122,,False,False,30.021,,False,False
