,block_id,timeout_in_s,solver_time_in_sec,has_model,finished_execution,lower_bound,upper_bound,models_found,cost_per_model_found,found_model_times,hard_is_sat,hard_time_in_sec,hard_found_model,hard_cost_found
0,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block245,40.0,92.34,True,False,-23,24,"['PUSH DUP2 PUSH MLOAD_0 DUP1 PUSH DUP3 PUSH ADD_1 SWAP3 PUSH DUP4 ADD_0 PUSH MSTORE_0 MSTORE_1 PUSH PUSHTAG_1 PUSH DUP9 AND_0 SWAP4 PUSH SWAP1 MSTORE_2 AND_1 SWAP1 PUSHTAG_0 SWAP4 SWAP2', 'PUSH DUP2 PUSH MLOAD_0 DUP1 PUSH DUP3 PUSH ADD_1 SWAP3 PUSH DUP4 ADD_0 PUSH MSTORE_0 MSTORE_1 PUSH PUSHTAG_1 PUSH DUP9 AND_0 SWAP4 PUSH SWAP1 MSTORE_2 AND_1 SWAP1 PUSHTAG_0 SWAP4 SWAP2', 'PUSH PUSHTAG_1 PUSH AND_1 PUSH DUP4 PUSHTAG_0 DUP7 PUSH AND_0 SWAP3 PUSH MLOAD_0 SWAP2 POP DUP2 ADD_1 PUSH DUP3 ADD_0 PUSH MSTORE_0 SWAP4 PUSH DUP3 MSTORE_1 PUSH PUSHTAG_0 SWAP6 MSTORE_2', 'PUSHTAG_1 PUSHTAG_0 DUP4 PUSH AND_0 DUP4 PUSH MLOAD_0 PUSH DUP2 ADD_0 PUSH MSTORE_0 PUSH DUP2 MSTORE_1 PUSH DUP2 PUSH SWAP1 POP DUP3 ADD_1 SWAP6 AND_1 PUSH SWAP6 PUSH SWAP1 MSTORE_2', 'PUSHTAG_1 PUSHTAG_0 DUP4 PUSH AND_0 DUP4 PUSH MLOAD_0 PUSH DUP2 ADD_0 PUSH MSTORE_0 PUSH DUP2 MSTORE_1 PUSH DUP2 PUSH SWAP1 POP DUP3 ADD_1 SWAP6 AND_1 PUSH SWAP6 PUSH SWAP1 MSTORE_2', 'PUSH PUSHTAG_0 PUSH MLOAD_0 PUSHTAG_1 PUSH DUP3 ADD_0 PUSH MSTORE_0 PUSH AND_1 PUSH PUSH DUP4 ADD_1 PUSH DUP5 MSTORE_1 MSTORE_2 PUSH DUP7 AND_0 SWAP2 DUP6 SWAP2 NOP NOP NOP NOP', 'PUSH PUSH MLOAD_0 DUP4 PUSH DUP3 PUSH ADD_0 PUSH MSTORE_0 DUP3 PUSH DUP1 DUP3 MSTORE_1 ADD_1 MSTORE_2 PUSH AND_0 DUP4 PUSHTAG_0 SWAP3 PUSH PUSHTAG_1 AND_1 NOP NOP NOP NOP NOP', 'PUSH PUSH MLOAD_0 DUP4 PUSH DUP3 PUSH ADD_0 PUSH MSTORE_0 DUP3 PUSH DUP1 DUP3 MSTORE_1 ADD_1 MSTORE_2 PUSH AND_0 DUP4 PUSHTAG_0 SWAP3 PUSH PUSHTAG_1 AND_1 NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_1 AND_1 PUSHTAG_0 DUP4 PUSH AND_0 DUP4 PUSH MLOAD_0 DUP1 PUSH ADD_0 PUSH MSTORE_0 PUSH DUP2 MSTORE_1 PUSH DUP2 PUSH ADD_1 MSTORE_2 PUSH SWAP5 NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_1 AND_1 PUSHTAG_0 DUP4 PUSH AND_0 DUP4 PUSH MLOAD_0 DUP1 PUSH ADD_0 PUSH MSTORE_0 PUSH DUP2 MSTORE_1 PUSH DUP2 PUSH ADD_1 MSTORE_2 PUSH SWAP5 NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_0 PUSH DUP5 AND_0 DUP4 PUSH MLOAD_0 PUSH PUSH DUP3 ADD_0 PUSH MSTORE_0 PUSH DUP3 MSTORE_1 PUSH DUP3 ADD_1 MSTORE_2 PUSHTAG_1 PUSH AND_1 NOP NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_0 DUP4 PUSH AND_0 DUP4 PUSH MLOAD_0 PUSH DUP2 PUSH ADD_0 PUSH MSTORE_0 PUSH DUP3 MSTORE_1 PUSH DUP3 ADD_1 MSTORE_2 PUSH PUSHTAG_1 AND_1 NOP NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_0 PUSH DUP5 AND_0 DUP4 PUSH MLOAD_0 PUSH DUP2 PUSH ADD_0 PUSH MSTORE_0 DUP2 MSTORE_1 PUSH PUSH DUP3 ADD_1 MSTORE_2 PUSHTAG_1 PUSH AND_1 NOP NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_0 PUSH DUP5 AND_0 DUP4 PUSH MLOAD_0 PUSH DUP2 PUSH ADD_0 PUSH MSTORE_0 DUP2 MSTORE_1 PUSH PUSH DUP3 ADD_1 MSTORE_2 PUSHTAG_1 PUSH AND_1 NOP NOP NOP NOP NOP NOP']","[0, 0, 0, 0, 0, 4, 5, 5, 5, 5, 6, 6, 6, 6]","[28.5, 28.5, 53.67, 76.87, 76.91, 79.0, 85.95, 85.99, 88.49, 88.54, 91.65, 92.04, 92.23, 92.31]",False,40.02,,
1,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block115,50.0,50.33,False,False,-3,30,[],[],[],False,50.02,,
2,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block151,20.0,28.59,True,False,-14,17,"['PUSH MLOAD_0 DUP4 PUSHTAG_0 DUP3 PUSH DUP2 ADD_0 PUSH PUSH DUP11 AND_0 SWAP6 POP SWAP4 PUSH CALLER_0 SWAP4 MSTORE_0 DUP8 DUP12 SWAP12 SWAP3', 'PUSH MLOAD_0 DUP4 PUSHTAG_0 DUP3 PUSH DUP2 ADD_0 PUSH PUSH DUP11 AND_0 SWAP6 POP SWAP4 PUSH CALLER_0 SWAP4 MSTORE_0 DUP8 DUP12 SWAP12 SWAP3', 'PUSH MLOAD_0 PUSH DUP2 MSTORE_0 PUSH ADD_0 PUSH PUSH CALLER_0 DUP9 DUP9 PUSHTAG_0 SWAP4 AND_0 DUP9 SWAP1 SWAP6 DUP9 SWAP1 NOP NOP NOP', 'PUSH DUP5 AND_0 PUSH PUSHTAG_0 PUSH MLOAD_0 DUP9 PUSH DUP3 MSTORE_0 PUSH CALLER_0 SWAP3 ADD_0 DUP9 DUP9 SWAP1 SWAP2 NOP NOP NOP NOP', 'PUSH DUP5 AND_0 PUSH MLOAD_0 PUSHTAG_0 PUSH DUP3 MSTORE_0 CALLER_0 DUP9 DUP8 DUP8 PUSH SWAP6 PUSH ADD_0 NOP NOP NOP NOP NOP NOP', 'PUSH DUP5 AND_0 PUSH PUSHTAG_0 CALLER_0 DUP9 PUSH PUSH MLOAD_0 PUSH DUP2 MSTORE_0 ADD_0 DUP8 DUP10 SWAP2 NOP NOP NOP NOP NOP NOP', 'PUSH DUP5 AND_0 PUSH PUSHTAG_0 CALLER_0 DUP9 PUSH PUSH MLOAD_0 PUSH DUP2 MSTORE_0 ADD_0 DUP8 DUP10 SWAP2 NOP NOP NOP NOP NOP NOP', 'PUSH DUP5 AND_0 PUSH PUSHTAG_0 CALLER_0 DUP9 PUSH PUSH MLOAD_0 PUSH DUP2 MSTORE_0 ADD_0 DUP8 DUP10 SWAP2 NOP NOP NOP NOP NOP NOP', 'PUSH DUP5 AND_0 PUSH PUSHTAG_0 CALLER_0 DUP9 PUSH PUSH MLOAD_0 PUSH DUP2 MSTORE_0 ADD_0 DUP8 DUP10 SWAP2 NOP NOP NOP NOP NOP NOP', 'PUSH DUP5 AND_0 PUSH PUSHTAG_0 CALLER_0 DUP9 PUSH PUSH MLOAD_0 PUSH DUP2 MSTORE_0 ADD_0 DUP8 DUP10 SWAP2 NOP NOP NOP NOP NOP NOP', 'PUSH DUP5 AND_0 PUSH PUSHTAG_0 CALLER_0 DUP9 PUSH PUSH MLOAD_0 PUSH DUP2 MSTORE_0 ADD_0 DUP8 DUP10 SWAP2 NOP NOP NOP NOP NOP NOP', 'PUSH DUP5 AND_0 PUSH PUSHTAG_0 CALLER_0 DUP9 PUSH PUSH MLOAD_0 PUSH DUP2 MSTORE_0 ADD_0 DUP8 DUP10 SWAP2 NOP NOP NOP NOP NOP NOP']","[0, 0, 3, 4, 6, 6, 6, 6, 6, 6, 6, 6]","[18.38, 18.38, 22.1, 27.72, 27.98, 28.3, 28.35, 28.39, 28.45, 28.51, 28.55, 28.6]",False,20.01,,
3,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block110,50.0,102.47,True,False,-23,23,"['PUSHTAG_0 CALLER_0 PUSH PUSH KECCAK256_0 PUSH DUP5 AND_0 DUP3 PUSH PUSH MSTORE_1 PUSH DUP4 PUSH MSTORE_3 MSTORE_0 PUSH DUP2 DUP11 PUSH MSTORE_2 LT_0 NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSHTAG_0 CALLER_0 PUSH PUSH KECCAK256_0 PUSH DUP5 AND_0 DUP3 PUSH PUSH MSTORE_1 PUSH DUP4 PUSH MSTORE_3 MSTORE_0 PUSH DUP2 DUP11 PUSH MSTORE_2 LT_0 NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSHTAG_0 CALLER_0 CALLER_0 PUSH MSTORE_0 PUSH PUSH PUSH MSTORE_1 PUSH KECCAK256_0 DUP4 DUP2 PUSH DUP11 PUSH MSTORE_2 MSTORE_3 PUSH AND_0 PUSH DUP2 LT_0 NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSHTAG_0 CALLER_0 PUSH PUSH KECCAK256_0 PUSH DUP5 AND_0 PUSH DUP2 LT_0 CALLER_0 PUSH MSTORE_0 DUP10 PUSH MSTORE_2 PUSH PUSH MSTORE_1 DUP3 PUSH MSTORE_3 NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSHTAG_0 CALLER_0 PUSH PUSH KECCAK256_0 PUSH DUP5 AND_0 PUSH DUP2 LT_0 DUP3 PUSH PUSH MSTORE_1 PUSH MSTORE_3 CALLER_0 PUSH MSTORE_0 DUP10 PUSH MSTORE_2 NOP NOP NOP NOP NOP NOP NOP NOP NOP']","[9, 9, 9, 9, 9]","[54.3, 54.31, 58.32, 77.82, 79.46]",False,50.03,,
4,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_initial_block40,10.0,18.49,True,False,-12,12,"['SWAP4 PUSH DUP7 ADD_0 MLOAD_0 SWAP3 POP POP DUP1 DUP3 GT_0 ISZERO_0', 'SWAP4 PUSH DUP7 ADD_0 MLOAD_0 SWAP3 POP POP DUP1 DUP3 GT_0 ISZERO_0', 'SWAP4 POP DUP1 DUP6 PUSH ADD_0 MLOAD_0 SWAP3 POP DUP3 GT_0 ISZERO_0']","[0, 0, 0]","[6.91, 6.91, 12.93]",False,10.01,,
5,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block100,50.0,87.08,True,False,-19,23,"['PUSH PUSH KECCAK256_0 PUSH PUSH CALLER_0 PUSH CALLER_0 PUSH SWAP4 POP POP SWAP6 SWAP6 MSTORE_0 DUP5 DUP4 SLOAD_0 SWAP4 PUSH PUSH DUP2 MSTORE_1 MSTORE_3 AND_0 PUSHTAG_1 SWAP2 MSTORE_2 CALLER_0 DUP5 PUSHTAG_0 PUSH SWAP5', 'PUSH PUSH KECCAK256_0 PUSH PUSH CALLER_0 PUSH CALLER_0 PUSH SWAP4 POP POP SWAP6 SWAP6 MSTORE_0 DUP5 DUP4 SLOAD_0 SWAP4 PUSH PUSH DUP2 MSTORE_1 MSTORE_3 AND_0 PUSHTAG_1 SWAP2 MSTORE_2 CALLER_0 DUP5 PUSHTAG_0 PUSH SWAP5', 'PUSH PUSH SWAP1 MSTORE_1 PUSH PUSH PUSH KECCAK256_0 CALLER_0 DUP2 SLOAD_0 DUP2 PUSHTAG_0 DUP2 PUSHTAG_0 SWAP3 POP PUSH MSTORE_0 POP DUP7 DUP1 SWAP3 PUSH SWAP1 SWAP2 AND_0 DUP7 MSTORE_2 PUSHTAG_1 SWAP5 PUSH MSTORE_3', 'PUSH PUSH KECCAK256_0 DUP3 PUSH AND_0 PUSH PUSH MSTORE_1 PUSH DUP3 PUSH MSTORE_3 CALLER_0 PUSH MSTORE_0 MSTORE_2 SLOAD_0 PUSHTAG_1 CALLER_0 DUP5 PUSHTAG_0 PUSH SWAP5 NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 CALLER_0 PUSH DUP3 PUSH MSTORE_3 MSTORE_0 SLOAD_0 PUSHTAG_1 CALLER_0 PUSH DUP6 AND_0 PUSH MSTORE_2 DUP5 PUSHTAG_0 PUSH SWAP5 NOP NOP NOP NOP NOP NOP NOP NOP NOP', 'PUSH PUSHTAG_1 CALLER_0 PUSH MSTORE_0 DUP4 PUSH PUSH MSTORE_1 PUSH AND_0 PUSH MSTORE_2 CALLER_0 DUP5 PUSHTAG_0 PUSH DUP6 KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 NOP NOP NOP NOP NOP NOP NOP NOP NOP NOP']","[0, 0, 0, 9, 9, 10]","[41.22, 41.23, 74.27, 77.39, 79.17, 81.8]",False,50.02,,
6,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block51,50.0,61.71,True,False,-21,22,"['PUSH PUSH KECCAK256_0 DUP3 DUP2 CALLER_0 PUSH PUSH MSTORE_1 PUSH DUP9 AND_0 PUSH MSTORE_0 PUSH MSTORE_2 SLOAD_0 SWAP2 PUSH MSTORE_3 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'PUSH PUSH KECCAK256_0 DUP3 DUP2 CALLER_0 PUSH PUSH MSTORE_1 PUSH DUP9 AND_0 PUSH MSTORE_0 PUSH MSTORE_2 SLOAD_0 SWAP2 PUSH MSTORE_3 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP', 'PUSH DUP5 AND_0 PUSH MSTORE_0 PUSH PUSH KECCAK256_0 PUSH PUSH MSTORE_1 DUP1 PUSH MSTORE_3 CALLER_0 PUSH MSTORE_2 SLOAD_0 DUP3 DUP2 LT_0 ISZERO_0 NOP NOP NOP NOP NOP NOP NOP']","[6, 6, 7]","[14.54, 14.55, 54.02]",False,50.02,,
7,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block36,10.0,12.21,False,False,-6,24,[],[],[],False,10.01,,
8,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block215,10.0,10.76,False,False,-7,24,[],[],[],False,10.01,,
9,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block318,50.0,399.07,True,False,-21,23,"['POP PUSH PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 PUSH DUP4 DUP3 PUSH MSTORE_3 DUP2 DUP2 SWAP2 POP POP PUSH AND_2 PUSH MSTORE_0 DUP7 AND_0 PUSH SWAP2 SLOAD_0 SWAP2 MSTORE_2 AND_1', 'POP PUSH PUSH PUSH MSTORE_1 PUSH PUSH KECCAK256_0 PUSH DUP4 DUP3 PUSH MSTORE_3 DUP2 DUP2 SWAP2 POP POP PUSH AND_2 PUSH MSTORE_0 DUP7 AND_0 PUSH SWAP2 SLOAD_0 SWAP2 MSTORE_2 AND_1', 'PUSH PUSH MSTORE_1 SWAP2 PUSH PUSH DUP2 KECCAK256_0 PUSH DUP2 SLOAD_0 SWAP6 POP MSTORE_3 DUP6 SWAP2 SWAP4 PUSH DUP5 PUSH AND_2 DUP4 MSTORE_0 AND_1 SWAP2 PUSH AND_0 SWAP1 MSTORE_2 NOP', 'PUSH PUSH PUSH MSTORE_1 PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SWAP1 POP DUP2 PUSH PUSH DUP8 PUSH AND_0 SWAP3 AND_2 DUP2 MSTORE_0 MSTORE_2 SLOAD_0 PUSH AND_1 NOP NOP NOP NOP NOP', 'POP DUP4 PUSH AND_0 PUSH DUP3 PUSH AND_2 DUP2 MSTORE_0 MSTORE_2 PUSH PUSH PUSH PUSH MSTORE_1 PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 AND_1 NOP NOP NOP NOP NOP NOP NOP', 'POP PUSH PUSH KECCAK256_0 PUSH DUP3 PUSH AND_2 PUSH MSTORE_0 PUSH MSTORE_1 PUSH DUP6 AND_0 PUSH MSTORE_2 DUP1 PUSH MSTORE_3 SLOAD_0 PUSH AND_1 NOP NOP NOP NOP NOP NOP NOP', 'POP PUSH PUSH KECCAK256_0 PUSH DUP3 PUSH AND_2 PUSH MSTORE_0 PUSH MSTORE_1 PUSH DUP6 AND_0 PUSH MSTORE_2 DUP1 PUSH MSTORE_3 SLOAD_0 PUSH AND_1 NOP NOP NOP NOP NOP NOP NOP', 'POP PUSH DUP5 AND_0 DUP2 PUSH AND_2 PUSH PUSH MSTORE_1 PUSH MSTORE_0 PUSH MSTORE_2 PUSH PUSH KECCAK256_0 DUP1 PUSH MSTORE_3 SLOAD_0 PUSH AND_1 NOP NOP NOP NOP NOP NOP NOP']","[0, 0, 1, 5, 7, 7, 7, 7]","[70.07, 70.08, 106.45, 273.02, 314.07, 390.39, 390.44, 399.07]",False,50.02,,
