,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
0,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block26_input,4.0,12,True,False,14,2.0,0.021,SWAP1 PUSH 7f AND SWAP1 ,5,4.0,1,1,5.0,"['PUSH1', 'DUP3', 'AND', 'SWAP2', 'POP']",6,1.0
1,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block150_input,6.0,17,True,False,17,0.0,0.052,POP PUSH ff DUP5 AND PUSH 1c EQ ,6,6.0,2,2,8.0,"['POP', 'DUP4', 'PUSH1', 'AND', 'PUSH1', 'EQ']",8,0.0
2,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block143_input,27.0,81,True,False,93,12.0,22.485,PUSH 40 MLOAD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP2 MSTORE PUSH 6365000000000000000000000000000000000000000000000000000000000000 PUSH 64 DUP3 ADD PUSH 20 DUP4 PUSH 4 ADD MSTORE PUSH 22 DUP4 PUSH 24 ADD MSTORE PUSH 45524332303a206275726e20616d6f756e7420657863656564732062616c616e PUSH 44 DUP5 ADD MSTORE MSTORE PUSH 84 ADD ,27,27.0,11,11,131.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH2', 'PUSH1', 'SHL', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",78,-53.0
3,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block129.1_input,3.0,6,True,False,6,0.0,0.017,POP POP POP ,3,3.0,0,0,3.0,"['POP', 'POP', 'POP']",3,0.0
4,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block14_input,10.0,5027,True,False,5033,6.0,0.603,DUP3 PUSH 20 ADD SWAP3 MLOAD DUP3 PUSH 1 ADD SWAP3 SSTORE ,12,10.0,4,2,12.0,"['DUP3', 'MLOAD', 'DUP3', 'SSTORE', 'SWAP2', 'PUSH1', 'ADD', 'SWAP2', 'SWAP1', 'PUSH1', 'ADD', 'SWAP1']",14,2.0
5,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_initial_block2.1_input,7.0,21,True,False,24,3.0,0.083,DUP2 ADD PUSHTAG 6 SWAP2 DUP2 PUSH 40 MSTORE ,8,7.0,3,1,12.0,"['DUP2', 'ADD', 'PUSH1', 'DUP2', 'SWAP1', 'MSTORE', 'PUSHTAG', 'SWAP2']",13,1.0
6,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block159_input,8.0,24,True,False,24,0.0,0.128,PUSH 0 PUSH 0 PUSH 40 DUP4 DUP6 SUB SLT ISZERO ,8,8.0,3,2,11.0,"['PUSH1', 'DUP1', 'PUSH1', 'DUP4', 'DUP6', 'SUB', 'SLT', 'ISZERO']",10,-1.0
7,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block171.1_input,,,False,True,52,,20.07,,20,,3,2,,"['PUSH1', 'PUSH1', 'DUP5', 'DUP4', 'ADD', 'ADD', 'MSTORE', 'DUP1', 'SWAP6', 'POP', 'POP', 'POP', 'POP', 'POP', 'POP', 'SWAP3', 'POP', 'SWAP3', 'SWAP1', 'POP']",22,
8,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block212_input,6.0,18,True,False,18,0.0,0.028,PUSH 20 DUP3 LT DUP2 EQ ISZERO ,6,6.0,3,1,7.0,"['PUSH1', 'DUP3', 'LT', 'DUP2', 'EQ', 'ISZERO']",7,0.0
9,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block105_input,5.0,712,True,False,715,3.0,0.028,PUSH 60 PUSH 8 PUSHTAG 136 DUP2 SLOAD ,6,5.0,2,2,11.0,"['PUSH1', 'PUSH1', 'DUP1', 'SLOAD', 'PUSHTAG', 'SWAP1']",12,1.0
