,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
0,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block182_input,5.0,14,True,False,26,12.0,0.025,PUSH ffffffffffffffffffffffffffffffffffffffff DUP2 AND CALLER EQ ,5,5.0,3,1,25.0,"['CALLER', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP3', 'AND', 'EQ']",12,-13.0
1,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block50_input,4.0,10,True,False,10,0.0,0.023,POP SWAP2 SWAP1 POP ,4,4.0,0,0,4.0,"['POP', 'SWAP2', 'SWAP1', 'POP']",4,0.0
2,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block469.1_input,15.0,41,False,False,39,-2.0,19.961,SWAP2 POP POP PUSH 0 SWAP4 PUSH 20 SWAP2 ADD ADD SWAP2 POP SWAP4 SWAP3 POP MSTORE ,15,15.0,3,2,17.0,"['PUSH1', 'PUSH1', 'DUP8', 'DUP4', 'ADD', 'ADD', 'MSTORE', 'POP', 'POP', 'POP', 'SWAP4', 'SWAP3', 'POP', 'POP', 'POP']",17,0.0
3,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Strings_initial_block0.1_input,6.0,18,True,False,18,0.0,0.033,DUP1 MLOAD PUSH 0 BYTE PUSH 73 EQ ,6,6.0,3,2,8.0,"['DUP1', 'MLOAD', 'PUSH1', 'BYTE', 'PUSH1', 'EQ']",8,0.0
4,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_initial_block32_input,4.0,12,True,False,12,0.0,0.027,DUP4 DUP3 GT ISZERO ,4,4.0,2,0,4.0,"['DUP4', 'DUP3', 'GT', 'ISZERO']",4,0.0
5,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block170_input,3.0,9,True,False,9,0.0,0.022,DUP1 PUSH 1f LT ,3,3.0,1,1,4.0,"['DUP1', 'PUSH1', 'LT']",4,0.0
6,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block160_input,3.0,8,True,False,8,0.0,0.021,PUSH 60 SWAP2 POP ,3,3.0,0,1,4.0,"['PUSH1', 'SWAP2', 'POP']",4,0.0
7,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block320_input,3.0,9,True,False,21,12.0,0.027,DUP3 PUSH ffffffffffffffffffffffffffffffffffffffff AND ,3,3.0,1,1,23.0,"['DUP3', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND']",10,-13.0
8,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block153_input,3.0,8,True,False,8,0.0,0.018,CALLVALUE DUP1 ISZERO ,3,3.0,2,0,3.0,"['CALLVALUE', 'DUP1', 'ISZERO']",3,0.0
9,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block224_input,2.0,6,True,False,6,0.0,0.016,DUP3 LT ,2,2.0,1,0,2.0,"['DUP3', 'LT']",2,0.0
10,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block354_input,10.0,30,True,False,53,23.0,0.91,SWAP2 PUSH ff00000000000000000000000000000000000000000000000000000000000000 AND PUSH 0 BYTE SWAP2 PUSH 20 ADD ADD MSTORE8 ,14,10.0,5,3,44.0,"['PUSH1', 'ADD', 'ADD', 'SWAP1', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'NOT', 'AND', 'SWAP1', 'DUP2', 'PUSH1', 'BYTE', 'SWAP1', 'MSTORE8', 'POP']",23,-21.0
11,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block430_input,7.0,21,True,False,21,0.0,0.06,PUSH 0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO ,7,7.0,3,2,9.0,"['PUSH1', 'PUSH1', 'DUP3', 'DUP5', 'SUB', 'SLT', 'ISZERO']",9,0.0
12,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block485_input,6.0,17,True,False,17,0.0,0.119,SWAP4 POP PUSHTAG 628 PUSH 20 DUP7 ADD ,6,6.0,2,1,11.0,"['SWAP4', 'POP', 'PUSHTAG', 'PUSH1', 'DUP7', 'ADD']",11,0.0
13,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block108_input,6.0,714,True,False,717,3.0,0.045,POP PUSHTAG 40 PUSH ff PUSH c SLOAD AND ,7,6.0,3,2,12.0,"['POP', 'PUSH1', 'SLOAD', 'PUSHTAG', 'SWAP1', 'PUSH1', 'AND']",13,1.0
14,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block486_input,,,False,True,46,,9.977,,16,,6,3,,"['SWAP3', 'POP', 'PUSH1', 'DUP6', 'ADD', 'CALLDATALOAD', 'SWAP2', 'POP', 'PUSH1', 'DUP6', 'ADD', 'CALLDATALOAD', 'PUSH8', 'DUP2', 'GT', 'ISZERO']",26,
15,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block228_input,11.0,755,True,False,761,6.0,5.488,SWAP3 POP PUSH 0 MSTORE POP PUSH 20 PUSH 0 KECCAK256 ADD SLOAD SWAP1 ,13,11.0,4,2,14.0,"['SWAP1', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'KECCAK256', 'ADD', 'SLOAD', 'SWAP1', 'POP', 'SWAP2', 'SWAP1', 'POP']",16,2.0
16,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block4_input,8.0,23,True,False,32,9.0,0.351,POP PUSHTAG 10 PUSH 1 PUSH 20 DUP4 ADD DUP4 MLOAD ,11,8.0,3,2,14.0,"['POP', 'DUP1', 'MLOAD', 'PUSHTAG', 'SWAP1', 'PUSH1', 'SWAP1', 'PUSH1', 'DUP5', 'ADD', 'SWAP1']",17,3.0
17,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block63_input,8.0,24,True,False,24,0.0,0.073,DUP3 SWAP1 SUB PUSH 1f AND DUP3 ADD SWAP2 ,8,8.0,3,1,9.0,"['DUP3', 'SWAP1', 'SUB', 'PUSH1', 'AND', 'DUP3', 'ADD', 'SWAP2']",9,0.0
18,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block227_input,6.0,18,True,False,18,0.0,0.035,PUSH 20 DUP3 LT DUP2 EQ ISZERO ,6,6.0,3,1,7.0,"['PUSH1', 'DUP3', 'LT', 'DUP2', 'EQ', 'ISZERO']",7,0.0
19,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block76_input,1.0,2,True,False,2,0.0,0.014,POP ,1,1.0,0,0,1.0,['POP'],1,0.0
20,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block166_input,5.0,15,True,False,30,15.0,0.035,PUSH ffffffff00000000000000000000000000000000000000000000000000000000 DUP2 AND DUP2 EQ ,6,5.0,2,1,37.0,"['PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'NOT', 'DUP2', 'AND', 'DUP2', 'EQ']",13,-24.0
21,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block10_input,3.0,9,True,False,9,0.0,0.021,PUSH a532ae77 DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
22,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block233_input,7.0,17,True,False,17,0.0,0.086,ADD SWAP4 POP POP POP POP SWAP1 ,7,7.0,1,0,7.0,"['ADD', 'SWAP5', 'SWAP4', 'POP', 'POP', 'POP', 'POP']",7,0.0
23,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block94_input,3.0,8,True,False,8,0.0,0.019,CALLVALUE DUP1 ISZERO ,3,3.0,2,0,3.0,"['CALLVALUE', 'DUP1', 'ISZERO']",3,0.0
24,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_initial_block46_input,6.0,18,True,False,21,3.0,0.056,DUP1 PUSH 1 SHR DUP2 PUSH 1 AND ,7,6.0,2,1,8.0,"['PUSH1', 'DUP2', 'DUP2', 'SHR', 'SWAP1', 'DUP3', 'AND']",8,0.0
25,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block251_input,3.0,10,True,False,10,0.0,0.02,POP MOD SWAP1 ,3,3.0,1,0,3.0,"['POP', 'MOD', 'SWAP1']",3,0.0
