,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
0,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_Ownable_block25_input,5.0,12,True,False,12,0.0,0.021,SWAP3 POP POP POP SWAP1 ,5,5.0,0,0,5.0,"['SWAP4', 'SWAP3', 'POP', 'POP', 'POP']",5,0.0
1,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_Ownable_block2_input,4.0,10,True,False,10,0.0,0.019,POP PUSH 4 CALLDATASIZE LT ,4,4.0,2,1,5.0,"['POP', 'PUSH1', 'CALLDATASIZE', 'LT']",5,0.0
2,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block95_input,6.0,715,True,False,715,0.0,0.029,PUSH 0 PUSH 6 SLOAD DUP3 GT ISZERO ,6,6.0,3,2,8.0,"['PUSH1', 'PUSH1', 'SLOAD', 'DUP3', 'GT', 'ISZERO']",8,0.0
3,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block0_input,6.0,18,True,False,21,3.0,0.03,PUSHTAG 1 PUSH 80 PUSH 40 MSTORE PUSH 38d7ea4c68000 PUSH ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff ,7,6.0,2,4,51.0,"['PUSH1', 'PUSH1', 'MSTORE', 'PUSHTAG', 'PUSH7', 'PUSH1', 'NOT']",21,-30.0
4,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block179_input,16.0,771,True,False,789,18.0,16.659,DUP3 PUSH ffffffffffffffffffffffffffffffffffffffff AND PUSH 0 MSTORE POP PUSH ff PUSH 40 PUSH 0 KECCAK256 SLOAD AND ISZERO PUSH 4 PUSH 20 MSTORE ,18,16.0,7,6,42.0,"['POP', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP3', 'AND', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'MSTORE', 'PUSH1', 'SWAP1', 'KECCAK256', 'SLOAD', 'PUSH1', 'AND', 'ISZERO']",30,-12.0
5,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block218_input,4.0,709,True,False,715,6.0,0.032,PUSH 0 DUP1 PUSH 6 SLOAD ,6,4.0,1,2,6.0,"['PUSH1', 'SLOAD', 'PUSH1', 'SWAP1', 'DUP2', 'SWAP1']",8,2.0
6,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block15_input,3.0,9,True,False,9,0.0,0.019,PUSH 95d89b41 DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
7,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_Ownable_block16_input,6.0,714,True,False,726,12.0,0.024,PUSH 0 SLOAD PUSH ffffffffffffffffffffffffffffffffffffffff AND CALLER EQ ,6,6.0,4,2,27.0,"['PUSH1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'CALLER', 'EQ']",14,-13.0
8,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block92.0_input,21.0,62,False,False,62,0.0,29.968,PUSHTAG 139 PUSH 40 MLOAD PUSH 60 DUP2 ADD PUSH 40 MSTORE PUSH 28 DUP2 MSTORE CALLER PUSHTAG 141 DUP6 DUP4 PUSH 28 PUSHDATA 974d1b4421da69cc60b481194f0dad36a5bb4e23da810da7a7fb30cdba178330 PUSH 20 DUP13 SWAP8 ADD ,21,21.0,9,4,39.0,"['PUSHTAG', 'DUP5', 'CALLER', 'PUSHTAG', 'DUP6', 'PUSH1', 'MLOAD', 'DUP1', 'PUSH1', 'ADD', 'PUSH1', 'MSTORE', 'DUP1', 'PUSH1', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'PUSHDATA', 'PUSH1', 'SWAP2']",39,0.0
9,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block152_input,2.0,5,True,False,5,0.0,0.019,SWAP1 POP ,2,2.0,0,0,2.0,"['SWAP1', 'POP']",2,0.0
10,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block285_input,6.0,15,True,False,18,3.0,0.141,SWAP4 POP POP SWAP1 POP SWAP2 ,7,6.0,0,0,6.0,"['SWAP1', 'POP', 'SWAP3', 'POP', 'SWAP3', 'SWAP1', 'POP']",7,1.0
11,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block86_input,8.0,24,True,False,24,0.0,0.064,DUP3 SWAP1 SUB PUSH 1f AND DUP3 ADD SWAP2 ,8,8.0,3,1,9.0,"['DUP3', 'SWAP1', 'SUB', 'PUSH1', 'AND', 'DUP3', 'ADD', 'SWAP2']",9,0.0
12,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block223_input,10.0,726,True,False,726,0.0,0.763,POP DUP2 PUSH 2 PUSH 0 PUSH 5 DUP5 PUSH 5 SLOAD DUP7 LT ,10,10.0,2,3,14.0,"['POP', 'DUP2', 'PUSH1', 'PUSH1', 'PUSH1', 'DUP5', 'DUP2', 'SLOAD', 'DUP2', 'LT']",13,-1.0
13,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block14_input,4.0,12,True,False,12,0.0,0.025,DUP3 DUP2 GT ISZERO ,4,4.0,2,0,4.0,"['DUP3', 'DUP2', 'GT', 'ISZERO']",4,0.0
14,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_Ownable_block15.1_input,7.0,5715,True,False,5730,15.0,0.06,PUSH 0 PUSH ffffffffffffffffffffffff0000000000000000000000000000000000000000 SWAP1 SLOAD AND PUSH 0 SSTORE ,8,7.0,3,2,41.0,"['PUSH1', 'DUP1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'NOT', 'AND', 'SWAP1', 'SSTORE']",16,-25.0
15,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block9_input,3.0,9,True,False,9,0.0,0.021,PUSH f2fde38b DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
16,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block84_input,9.0,54,True,False,57,3.0,0.24,PUSH 20 PUSH 0 KECCAK256 SWAP2 PUSH 0 MSTORE DUP3 ADD SWAP2 ,10,9.0,3,2,12.0,"['DUP3', 'ADD', 'SWAP2', 'SWAP1', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'KECCAK256', 'SWAP1']",13,1.0
17,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block234_input,2.0,5,True,False,5,0.0,0.018,SWAP2 POP ,2,2.0,0,0,2.0,"['SWAP2', 'POP']",2,0.0
18,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block1_input,3.0,9,True,False,12,3.0,0.024,PUSHTAG 3 SWAP1 PUSH ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff ,4,3.0,1,1,39.0,"['PUSHTAG', 'SWAP1', 'PUSH1', 'NOT']",9,-30.0
19,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block133_input,22.0,66,True,False,72,6.0,3.179,PUSH 40 MLOAD PUSH 20 PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP3 MSTORE DUP2 PUSH 4 ADD MSTORE PUSH 4163636f756e7420697320616c7265616479206578636c756465640000000000 PUSH 1b PUSH 24 DUP4 ADD MSTORE PUSH 44 DUP3 ADD MSTORE PUSH 64 ADD ,22,22.0,9,9,93.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",67,-26.0
20,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block222_input,,,False,True,1544,,40.03,,28,,12,4,,"['PUSH1', 'SWAP2', 'DUP3', 'MSTORE', 'PUSH1', 'DUP1', 'DUP4', 'KECCAK256', 'SWAP1', 'SWAP2', 'ADD', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'DUP4', 'MSTORE', 'DUP3', 'ADD', 'SWAP3', 'SWAP1', 'SWAP3', 'MSTORE', 'PUSH1', 'ADD', 'SWAP1', 'KECCAK256', 'SLOAD', 'GT']",38,
21,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block171_input,1.0,3,True,False,3,0.0,0.014,ISZERO ,1,1.0,1,0,1.0,['ISZERO'],1,0.0
22,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block111_input,6.0,714,True,False,726,12.0,0.022,PUSH 0 SLOAD PUSH ffffffffffffffffffffffffffffffffffffffff AND CALLER EQ ,6,6.0,4,2,27.0,"['PUSH1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'CALLER', 'EQ']",14,-13.0
23,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block13_input,3.0,9,True,False,9,0.0,0.023,SWAP2 DUP3 ADD ,3,3.0,1,0,3.0,"['SWAP2', 'DUP3', 'ADD']",3,0.0
24,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_Ownable_block4_input,3.0,9,True,False,9,0.0,0.018,PUSH 8da5cb5b DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
25,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_initial_block27_input,6.0,18,True,False,21,3.0,0.045,DUP1 PUSH 1 SHR DUP2 PUSH 1 AND ,7,6.0,2,1,8.0,"['PUSH1', 'DUP2', 'DUP2', 'SHR', 'SWAP1', 'DUP3', 'AND']",8,0.0
26,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block236_input,4.0,708,True,False,711,3.0,0.026,POP PUSHTAG 363 PUSH 6 SLOAD ,5,4.0,2,1,9.0,"['POP', 'PUSH1', 'SLOAD', 'PUSHTAG', 'SWAP1']",10,1.0
27,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block235_input,3.0,7,True,False,7,0.0,0.023,SWAP2 POP POP ,3,3.0,0,0,3.0,"['SWAP2', 'POP', 'POP']",3,0.0
28,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block287_input,4.0,12,True,False,14,2.0,0.033,SWAP1 PUSH 7f AND SWAP1 ,5,4.0,1,1,5.0,"['PUSH1', 'DUP3', 'AND', 'SWAP2', 'POP']",6,1.0
29,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block40_input,2.0,703,True,False,703,0.0,0.018,PUSH 7 SLOAD ,2,2.0,1,1,3.0,"['PUSH1', 'SLOAD']",3,0.0
30,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block244_input,1.0,2,True,False,2,0.0,0.016,POP ,1,1.0,0,0,1.0,['POP'],1,0.0
31,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block187_input,6.0,18,True,False,18,0.0,0.046,PUSH 0 DUP2 DUP5 DUP5 GT ISZERO ,6,6.0,2,1,7.0,"['PUSH1', 'DUP2', 'DUP5', 'DUP5', 'GT', 'ISZERO']",7,0.0
32,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_Ownable_initial_block2.1_input,5.0,14,True,False,14,0.0,0.032,POP PUSH#[$] 0 PUSH#[$] 0 PUSH[$] 0 PUSH 0 ,5,5.0,2,1,18.0,"['POP', 'PUSH#[$]', 'DUP1', 'PUSH[$]', 'PUSH1']",14,-4.0
33,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block125_input,6.0,714,True,False,726,12.0,0.027,PUSH 0 SLOAD PUSH ffffffffffffffffffffffffffffffffffffffff AND CALLER EQ ,6,6.0,4,2,27.0,"['PUSH1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'CALLER', 'EQ']",14,-13.0
34,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block267_input,9.0,24,True,False,30,6.0,1.007,SWAP5 SWAP3 PUSH 20 ADD CALLDATALOAD SWAP4 POP POP POP ,11,9.0,2,1,10.0,"['SWAP5', 'PUSH1', 'SWAP4', 'SWAP1', 'SWAP4', 'ADD', 'CALLDATALOAD', 'SWAP4', 'POP', 'POP', 'POP']",12,2.0
