,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
0,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block91_input,6.0,714,True,False,726,12.0,0.022,PUSH 0 SLOAD PUSH ffffffffffffffffffffffffffffffffffffffff AND CALLER EQ ,6,6.0,4,2,27.0,"['PUSH1', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'CALLER', 'EQ']",14,-13.0
1,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block4_input,3.0,9,True,False,9,0.0,0.017,DUP1 PUSH e520251a GT ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'GT']",7,0.0
2,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_initial_block2.1_input,7.0,21,True,False,24,3.0,0.084,DUP2 ADD PUSHTAG 2 SWAP2 DUP2 PUSH 40 MSTORE ,8,7.0,3,1,12.0,"['DUP2', 'ADD', 'PUSH1', 'DUP2', 'SWAP1', 'MSTORE', 'PUSHTAG', 'SWAP2']",13,1.0
3,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_Ownable_block27_input,5.0,12,True,False,12,0.0,0.027,SWAP3 POP POP POP SWAP1 ,5,5.0,0,0,5.0,"['SWAP4', 'SWAP3', 'POP', 'POP', 'POP']",5,0.0
4,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block181.0_input,,,False,True,16199,,210.0,,136,,49,15,,"['DUP2', 'MSTORE', 'PUSH1', 'DUP1', 'DUP3', 'ADD', 'SWAP3', 'SWAP1', 'SWAP3', 'MSTORE', 'PUSH1', 'SWAP1', 'DUP2', 'ADD', 'PUSH1', 'SWAP1', 'DUP2', 'KECCAK256', 'PUSH1', 'DUP3', 'MSTORE', 'DUP4', 'MSTORE', 'DUP2', 'DUP2', 'KECCAK256', 'SWAP4', 'SWAP1', 'SWAP4', 'SSTORE', 'DUP1', 'MLOAD', 'DUP1', 'DUP3', 'ADD', 'DUP3', 'MSTORE', 'CALLER', 'DUP1', 'DUP3', 'MSTORE', 'NUMBER', 'DUP3', 'DUP6', 'ADD', 'SWAP1', 'DUP2', 'MSTORE', 'DUP2', 'DUP7', 'MSTORE', 'PUSH1', 'DUP6', 'MSTORE', 'SWAP5', 'DUP4', 'SWAP1', 'KECCAK256', 'SWAP2', 'MLOAD', 'DUP3', 'SLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'NOT', 'AND', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'SWAP1', 'SWAP2', 'AND', 'OR', 'DUP3', 'SSTORE', 'SWAP4', 'MLOAD', 'PUSH1', 'SWAP1', 'SWAP2', 'ADD', 'SSTORE', 'DUP1', 'MLOAD', 'SWAP3', 'DUP4', 'MSTORE', 'SWAP1', 'DUP3', 'ADD', 'DUP13', 'SWAP1', 'MSTORE', 'DUP2', 'ADD', 'DUP11', 'SWAP1', 'MSTORE', 'PUSH1', 'DUP2', 'ADD', 'DUP10', 'SWAP1', 'MSTORE', 'PUSH1', 'DUP2', 'ADD', 'DUP9', 'SWAP1', 'MSTORE', 'PUSH1', 'DUP2', 'ADD', 'DUP8', 'SWAP1', 'MSTORE', 'PUSH1', 'DUP2', 'ADD', 'DUP7', 'SWAP1', 'MSTORE', 'DUP5', 'ISZERO', 'ISZERO', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'SWAP1', 'PUSH2', 'ADD', 'PUSH1', 'MLOAD', 'DUP1', 'SWAP2', 'SUB', 'SWAP1']",196,
5,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block240_input,,,False,True,108,,40.022,,30,,11,7,,"['PUSH1', 'MLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP1', 'DUP6', 'AND', 'PUSH1', 'DUP4', 'ADD', 'MSTORE', 'DUP4', 'AND', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'DUP2', 'ADD', 'DUP3', 'SWAP1', 'MSTORE', 'PUSHTAG', 'SWAP1', 'DUP6', 'SWAP1', 'PUSH4', 'PUSH1', 'SHL', 'SWAP1', 'PUSH1', 'ADD']",53,
6,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block198_input,7.0,717,True,False,717,0.0,0.04,TIMESTAMP DUP2 PUSH 5 ADD SLOAD LT ISZERO ,7,7.0,5,1,8.0,"['TIMESTAMP', 'DUP2', 'PUSH1', 'ADD', 'SLOAD', 'LT', 'ISZERO']",8,0.0
7,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block35_input,6.0,18,True,False,18,0.0,0.025,PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1 ,6,6.0,2,1,7.0,"['PUSH1', 'MLOAD', 'DUP1', 'SWAP2', 'SUB', 'SWAP1']",7,0.0
8,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block176_input,,,False,True,56024,,200.0,,241,,86,23,,"['PUSH1', 'PUSH1', 'MLOAD', 'DUP1', 'PUSH2', 'ADD', 'PUSH1', 'MSTORE', 'DUP1', 'DUP7', 'ISZERO', 'ISZERO', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'CALLER', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'DUP13', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'PUSH1', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'PUSH1', 'ISZERO', 'ISZERO', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'PUSH1', 'ISZERO', 'ISZERO', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'TIMESTAMP', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'DUP4', 'DUP2', 'MSTORE', 'PUSH1', 'ADD', 'PUSH1', 'PUSH1', 'AND', 'DUP2', 'MSTORE', 'POP', 'SWAP1', 'DUP1', 'PUSH1', 'DUP2', 'SLOAD', 'ADD', 'DUP1', 'DUP3', 'SSTORE', 'DUP1', 'SWAP2', 'POP', 'POP', 'PUSH1', 'SWAP1', 'SUB', 'SWAP1', 'PUSH1', 'MSTORE', 'PUSH1', 'PUSH1', 'KECCAK256', 'SWAP1', 'PUSH1', 'MUL', 'ADD', 'PUSH1', 'SWAP1', 'SWAP2', 'SWAP1', 'SWAP2', 'SWAP1', 'SWAP2', 'POP', 'PUSH1', 'DUP3', 'ADD', 'MLOAD', 'DUP2', 'PUSH1', 'ADD', 'PUSH1', 'PUSH2', 'EXP', 'DUP2', 'SLOAD', 'DUP2', 'PUSH1', 'MUL', 'NOT', 'AND', 'SWAP1', 'DUP4', 'ISZERO', 'ISZERO', 'MUL', 'OR', 'SWAP1', 'SSTORE', 'POP', 'PUSH1', 'DUP3', 'ADD', 'MLOAD', 'DUP2', 'PUSH1', 'ADD', 'PUSH1', 'PUSH2', 'EXP', 'DUP2', 'SLOAD', 'DUP2', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'MUL', 'NOT', 'AND', 'SWAP1', 'DUP4', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'MUL', 'OR', 'SWAP1', 'SSTORE', 'POP', 'PUSH1', 'DUP3', 'ADD', 'MLOAD', 'DUP2', 'PUSH1', 'ADD', 'SSTORE', 'PUSH1', 'DUP3', 'ADD', 'MLOAD', 'DUP2', 'PUSH1', 'ADD', 'SSTORE', 'PUSH1', 'DUP3', 'ADD', 'MLOAD', 'DUP2', 'PUSH1', 'ADD', 'PUSH1', 'PUSH2', 'EXP', 'DUP2', 'SLOAD', 'DUP2', 'PUSH1', 'MUL', 'NOT', 'AND', 'SWAP1', 'DUP4', 'ISZERO', 'ISZERO', 'MUL', 'OR', 'SWAP1', 'SSTORE', 'POP', 'PUSH1', 'DUP3', 'ADD', 'MLOAD', 'DUP2', 'PUSH1', 'ADD', 'PUSH1', 'PUSH2', 'EXP', 'DUP2', 'SLOAD', 'DUP2', 'PUSH1', 'MUL', 'NOT', 'AND', 'SWAP1', 'DUP4', 'ISZERO', 'ISZERO', 'MUL', 'OR', 'SWAP1', 'SSTORE', 'POP', 'PUSH1', 'DUP3', 'ADD', 'MLOAD', 'DUP2', 'PUSH1', 'ADD', 'SSTORE', 'PUSH1', 'DUP3', 'ADD', 'MLOAD', 'DUP2', 'PUSH1', 'ADD', 'SSTORE', 'PUSH2', 'DUP3', 'ADD', 'MLOAD', 'DUP2', 'PUSH1', 'ADD', 'PUSH1', 'PUSH2', 'EXP', 'DUP2', 'SLOAD', 'DUP2', 'PUSH1', 'MUL', 'NOT', 'AND', 'SWAP1', 'DUP4', 'PUSH1', 'AND', 'MUL', 'OR', 'SWAP1', 'SSTORE', 'POP', 'POP', 'POP', 'DUP9', 'PUSH1', 'PUSH1', 'PUSH1', 'PUSH1', 'DUP1', 'SLOAD', 'SWAP1', 'POP', 'PUSHTAG', 'SWAP2', 'SWAP1']",366,
9,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block209_input,,,False,True,5158,,60.011,,36,,11,5,,"['ADD', 'SSTORE', 'CALLER', 'PUSH1', 'SWAP1', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP2', 'DUP2', 'MSTORE', 'PUSH1', 'DUP1', 'DUP5', 'KECCAK256', 'DUP11', 'DUP6', 'MSTORE', 'SWAP1', 'SWAP2', 'MSTORE', 'SWAP1', 'SWAP2', 'KECCAK256', 'PUSHTAG', 'SWAP2', 'DUP7', 'SWAP2', 'SWAP1', 'PUSH1', 'DUP10', 'AND', 'SWAP1', 'DUP2', 'LT']",45,
