,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,bytes_required,original_instrs,original_bytes,saved_bytes
0,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block7_input,3.0,9,True,False,9,0.0,0.018,PUSH d889b9db DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
1,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block8_input,3.0,9,True,False,9,0.0,0.017,PUSH f2fde38b DUP2 EQ ,3,3.0,1,1,7.0,"['DUP1', 'PUSH4', 'EQ']",7,0.0
2,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block115_input,7.0,21,True,False,21,0.0,0.056,PUSH 0 PUSH 20 DUP3 DUP5 SUB SLT ISZERO ,7,7.0,3,2,9.0,"['PUSH1', 'PUSH1', 'DUP3', 'DUP5', 'SUB', 'SLT', 'ISZERO']",9,0.0
3,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block41_input,,,False,True,781,,9.995,,23,,7,5,,"['PUSH1', 'SLOAD', 'SWAP1', 'SWAP2', 'POP', 'PUSH1', 'SWAP1', 'PUSHTAG', 'SWAP1', 'PUSH2', 'PUSH1', 'PUSH1', 'SHL', 'DUP3', 'DIV', 'DUP2', 'AND', 'SWAP2', 'PUSHTAG', 'SWAP2', 'PUSH1', 'PUSH1', 'SHL', 'SWAP1', 'SWAP2', 'DIV', 'AND']",43,
4,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block59_input,3.0,9,True,False,9,0.0,0.023,PUSH ffff DUP2 AND ,3,3.0,1,1,5.0,"['PUSH2', 'DUP2', 'AND']",5,0.0
5,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block56.0_input,,,False,True,98,,39.97,,29,,11,5,,"['PUSH1', 'DUP1', 'MLOAD', 'ADDRESS', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP5', 'AND', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'SWAP1', 'DUP2', 'ADD', 'DUP3', 'SWAP1', 'MSTORE', 'PUSH32', 'SWAP1', 'PUSH1', 'ADD', 'PUSH1', 'MLOAD', 'DUP1', 'SWAP2', 'SUB', 'SWAP1']",72,
6,0x3E873439949793e8c577E08629c36Ed8c184e7D9_Ownable_block17_input,22.0,66,True,False,75,9.0,7.787,PUSH 40 MLOAD PUSH 20 PUSH 4 DUP3 ADD PUSH 8c379a000000000000000000000000000000000000000000000000000000000 DUP4 MSTORE MSTORE PUSH 4f776e61626c653a2063616c6c6572206973206e6f7420746865206f776e6572 PUSH 20 DUP3 PUSH 24 ADD MSTORE PUSH 44 DUP3 ADD MSTORE PUSH 64 ADD ,23,22.0,9,8,93.0,"['PUSH1', 'MLOAD', 'PUSH3', 'PUSH1', 'SHL', 'DUP2', 'MSTORE', 'PUSH1', 'PUSH1', 'DUP3', 'ADD', 'DUP2', 'SWAP1', 'MSTORE', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH32', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'ADD']",67,-26.0
7,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block84_input,,,False,True,177,,60.0,,49,,18,8,,"['PUSH1', 'DUP1', 'MLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'DUP5', 'AND', 'PUSH1', 'DUP3', 'ADD', 'MSTORE', 'PUSH1', 'DUP1', 'DUP3', 'ADD', 'DUP5', 'SWAP1', 'MSTORE', 'DUP3', 'MLOAD', 'DUP1', 'DUP4', 'SUB', 'SWAP1', 'SWAP2', 'ADD', 'DUP2', 'MSTORE', 'PUSH1', 'SWAP1', 'SWAP2', 'ADD', 'SWAP1', 'SWAP2', 'MSTORE', 'PUSH1', 'DUP2', 'ADD', 'DUP1', 'MLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'AND', 'PUSH4', 'PUSH1', 'SHL', 'OR', 'SWAP1', 'MSTORE', 'PUSHTAG', 'SWAP1', 'DUP5', 'SWAP1']",79,
8,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block23_input,9.0,27,True,False,42,15.0,0.222,PUSH 40 MLOAD PUSH ffffffffffffffffffffffffffffffffffffffff PUSH 20 SWAP3 AND DUP2 MSTORE ADD ,10,9.0,4,3,31.0,"['PUSH1', 'MLOAD', 'PUSH1', 'PUSH1', 'PUSH1', 'SHL', 'SUB', 'SWAP1', 'SWAP2', 'AND', 'DUP2', 'MSTORE', 'PUSH1', 'ADD']",19,-12.0
9,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block146_input,7.0,21,True,False,21,0.0,0.039,DUP2 MLOAD DUP1 ISZERO ISZERO DUP2 EQ ,7,7.0,4,0,7.0,"['DUP2', 'MLOAD', 'DUP1', 'ISZERO', 'ISZERO', 'DUP2', 'EQ']",7,0.0
